"party","Vote_change_dummy","Vote51","Contribution_3_minus","Contribution_3_plus","Contribution_4_minus","Contribution_4_plus","Contribution_51_minus","Contribution_51_plus","Contribution_6_minus","Contribution_6_plus","Contribution_7_minus","Contribution_7_plus","state","BioID","seniority_1151","birthday","Geographical","nominate_dim1","nominate_dim2","Vote51_minus","Vote51_plus","Vote51_NA"
"R",0,0,17500,0,13000,0,15000,0,24300,0,16000,0,"AL","R000575",8,1958,"SO",0.377,0.384,1,0,0
"R",0,0,17896,0,20000,0,26950,0,8000,0,14750,0,"AL","A000055",11,1965,"SO",0.403,0.479,1,0,0
"R",0,0,8500,0,5000,0,6000,500,2500,0,14950,0,"AL","B001274",4,1954,"SO",0.652,-0.417,1,0,0
"D",0,1,16000,0,10250,0,15250,0,19500,0,21500,0,"AL","S001185",4,1965,"SO",-0.398,0.4,0,1,0
"R",0,0,8600,0,27800,0,32200,500,28011,1500,11633,0,"AK","Y000033",16,1933,"WE",0.283,0.022,1,0,0
"D",0,NA,18300,0,3605,3025,NA,NA,15970,0,0,0,"AZ","K000368",3,1950,"WE",-0.169,-0.01,NA,NA,1
"D",0,1,NA,NA,1500,0,NA,NA,NA,NA,NA,NA,"AZ","G000551",8,1948,"WE",-0.598,-0.264,0,1,0
"R",0,0,19850,0,16000,0,26000,2250,12700,0,0,0,"AZ","G000565",4,1958,"WE",0.699,-0.499,1,0,0
"R",0,0,8750,0,NA,NA,12000,0,23988,2000,5633,0,"AZ","S001183",4,1962,"WE",0.561,-0.251,1,0,0
"R",0,0,9500,1000,2500,0,9500,0,10000,0,6000,0,"AR","C001087",4,1966,"SO",0.457,0.32,1,0,0
"R",0,0,7000,0,11000,0,19500,0,7000,0,8500,0,"AR","W000809",4,1957,"SO",0.348,0.621,1,0,0
"R",0,0,17500,0,13400,501,10500,50,25988,250,3133,0,"CA","L000578",3,1960,"WE",0.538,0.026,1,0,0
"D",0,1,7400,0,13320,200,7500,1580,6500,0,3000,250,"CA","H001068",3,1964,"WE",-0.428,-0.527,0,1,0
"D",0,1,4500,1500,3000,0,2000,1000,8000,0,2000,0,"CA","G000559",5,1945,"WE",-0.309,-0.096,0,1,0
"R",0,0,11450,0,4925,0,11405,300,13688,0,4333,0,"CA","M001177",5,1956,"WE",0.682,-0.401,1,0,0
"D",0,1,27385,1500,10000,500,14500,5000,26330,0,47000,0,"CA","T000460",10,1951,"WE",-0.393,0.068,0,1,0
"D",0,1,27249,3850,4700,5400,15500,2700,24500,0,5000,0,"CA","M001163",7,1944,"WE",-0.435,-0.146,0,1,0
"D",0,1,2750,250,2550,5400,2650,2470,2250,0,1000,0,"CA","B001287",3,1965,"WE",-0.241,0.013,0,1,0
"D",0,1,20049,7500,17350,1350,27325,1100,27650,0,13000,3400,"CA","M001166",6,1951,"WE",-0.263,-0.159,0,1,0
"D",0,1,1000,0,5800,200,10720,125,27360,0,28930,3978,"CA","P000197",16,1940,"WE",-0.49,-0.197,0,1,0
"D",0,1,7100,0,2900,0,4700,500,650,0,0,0,"CA","L000551",11,1946,"WE",-0.677,-0.569,0,1,0
"D",0,1,250,0,0,0,1500,0,0,0,0,0,"CA","S001175",6,1950,"WE",-0.381,-0.41,0,1,0
"D",0,1,16100,4350,18600,800,19900,1850,25110,0,7470,0,"CA","S001193",3,1980,"WE",-0.362,-0.077,0,1,0
"D",1,NA,24114,0,58000,2000,36750,0,27500,0,48000,0,"CA","C001059",7,1952,"WE",-0.196,0.458,NA,NA,1
"D",0,1,3500,0,2150,0,2000,8400,9800,0,NA,NA,"CA","E000215",13,1942,"WE",-0.38,-0.397,0,1,0
"D",0,1,2000,10400,7500,0,0,10900,3000,700,12500,1075,"CA","L000397",12,1947,"WE",-0.399,-0.419,0,1,0
"R",0,0,43500,1000,56500,250,76600,1050,60257,1500,10287,500,"CA","N000181",8,1973,"WE",0.45,0.223,1,0,0
"R",0,0,172660,3500,202750,7900,248450,2800,380725,5600,314797,3050,"CA","M001165",6,1965,"WE",0.453,0.233,1,0,0
"D",0,1,4100,250,6015,3,6633,1250,7000,0,0,0,"CA","B001285",3,1952,"WE",-0.294,0.051,0,1,0
"D",0,1,5100,1000,0,0,4000,0,1000,0,1500,0,"CA","C001080",5,1953,"WE",-0.489,-0.379,0,1,0
"D",0,1,0,0,1000,0,8340,1050,13100,365,10800,3000,"CA","S001150",9,1960,"WE",-0.35,-0.133,0,1,0
"D",0,1,4000,0,13500,0,26000,0,16000,0,6000,0,"CA","C001097",3,1963,"WE",-0.395,-0.003,0,1,0
"D",0,1,0,0,3000,0,1000,0,2000,0,5400,0,"CA","S000344",11,1954,"WE",-0.343,-0.141,0,1,0
"D",0,1,2000,1500,5500,0,5500,0,9500,0,1500,0,"CA","N000179",10,1936,"WE",-0.449,-0.245,0,1,0
"D",0,1,1500,0,5150,250,7825,210,9300,1000,13870,5800,"CA","R000599",3,1972,"WE",-0.252,0.049,0,1,0
"D",0,1,4750,0,6500,0,1900,0,19250,0,0,1000,"CA","B001270",4,1953,"WE",-0.584,-0.098,0,1,0
"D",0,1,5500,500,13500,0,9000,0,1000,0,NA,NA,"CA","S001156",8,1969,"WE",-0.508,-0.135,0,1,0
"D",0,1,5300,0,2500,0,5000,0,3000,0,1000,0,"CA","R000486",13,1941,"WE",-0.469,-0.171,0,1,0
"D",0,1,0,0,2500,0,3000,0,1000,250,250,0,"CA","T000472",3,1960,"WE",-0.465,-0.293,0,1,0
"R",0,0,15600,0,60500,1000,31500,0,14300,0,2000,0,"CA","C000059",13,1953,"WE",0.341,0.263,1,0,0
"D",0,1,10400,0,2500,0,1250,0,0,0,0,0,"CA","W000187",14,1938,"WE",-0.656,-0.079,0,1,0
"D",0,1,10500,0,12000,0,10200,0,7000,0,10500,0,"CA","L000579",3,1941,"WE",-0.449,-0.384,0,1,0
"R",0,0,54450,1500,13400,2700,11300,0,NA,NA,3133,0,"CA","I000056",9,1953,"WE",0.484,-0.001,1,0,0
"D",0,1,7600,0,15800,0,5000,0,16100,0,5500,2900,"CA","V000130",3,1961,"WE",-0.404,0.048,0,1,0
"D",0,1,15700,0,16395,1025,47800,1300,32550,0,9500,0,"CA","P000608",3,1958,"WE",-0.188,-0.032,0,1,0
"D",0,1,0,0,4000,1000,4500,0,1000,0,5500,0,"CO","D000197",11,1957,"WE",-0.431,-0.303,0,1,0
"R",0,0,20500,0,32250,0,18500,0,3500,0,3500,0,"CO","L000564",6,1954,"WE",0.667,0.232,1,0,0
"D",0,1,14700,2500,6450,500,5500,0,3500,0,2500,0,"CO","P000593",6,1953,"WE",-0.282,0.072,0,1,0
"D",0,1,10000,1000,7500,1000,5950,1500,8500,0,7500,0,"CT","L000557",10,1948,"NE",-0.396,-0.047,0,1,0
"D",0,1,8000,0,4000,0,5000,0,6500,0,1000,0,"CT","C001069",6,1953,"NE",-0.34,0.03,0,1,0
"D",0,NA,NA,NA,5375,0,1500,0,1350,0,10100,0,"CT","D000216",14,1943,"NE",-0.414,-0.116,NA,NA,1
"D",0,1,2500,0,12000,0,2000,0,100,0,1200,0,"CT","H001047",5,1966,"NE",-0.24,-0.226,0,1,0
"R",0,NA,2000,0,6000,0,3000,0,16700,0,5800,0,"FL","P000599",5,1947,"SO",0.531,-0.351,NA,NA,1
"R",0,0,6500,0,4500,200,3300,0,1500,0,1500,0,"FL","W000806",4,1949,"SO",0.525,-0.094,1,0,0
"R",0,0,8500,0,15000,0,46400,8900,14000,0,26000,0,"FL","B001257",6,1963,"SO",0.419,-0.017,1,0,0
"D",0,NA,2500,0,4000,0,1000,0,2650,2500,2000,0,"FL","C001066",6,1966,"SO",-0.437,0.06,NA,NA,1
"R",0,0,6000,0,5000,0,15750,0,43788,0,35400,5900,"FL","B001260",6,1951,"SO",0.362,-0.095,1,0,0
"D",0,1,3500,0,2500,0,1000,0,1500,0,0,0,"FL","H000324",13,1936,"SO",-0.564,0.157,0,1,0
"D",0,1,11000,2500,0,0,5800,2000,6500,2800,2500,0,"FL","D000610",5,1966,"SO",-0.401,-0.078,0,1,0
"D",0,1,5600,0,0,0,1500,0,2500,0,2500,0,"FL","F000462",3,1948,"SO",-0.397,-0.054,0,1,0
"D",0,1,9500,5500,6400,2850,21650,1500,0,0,0,0,"FL","W000797",7,1966,"SO",-0.416,0.088,0,1,0
"D",0,1,2000,0,3500,0,1500,0,1500,0,2500,0,"FL","W000808",4,1942,"SO",-0.477,-0.012,0,1,0
"R",0,NA,2500,0,17000,0,12000,0,20100,0,0,0,"FL","D000600",8,1961,"SO",0.284,0.141,NA,NA,1
"D",1,1,20000,0,17500,0,13500,0,7500,0,5000,0,"GA","B000490",13,1947,"SO",-0.285,0.454,0,1,0
"D",0,1,2500,0,1000,0,2500,0,1500,0,0,0,"GA","J000288",6,1954,"SO",-0.473,-0.025,0,1,0
"R",0,0,8500,0,7000,0,7500,0,2500,0,NA,NA,"GA","S001189",4,1969,"SO",0.535,0.354,1,0,0
"D",0,1,2500,0,8250,0,1000,0,0,0,9500,0,"GA","S001157",8,1945,"SO",-0.304,0.168,0,1,0
"R",0,0,103694,1000,80600,0,45200,0,40100,0,38000,0,"ID","S001148",10,1950,"WE",0.297,0.307,1,0,0
"D",0,1,23000,0,25400,0,8000,0,35000,0,33500,0,"IL","R000515",13,1946,"MW",-0.479,-0.203,0,1,0
"D",0,1,3500,0,7500,1000,2000,0,15500,0,4750,0,"IL","K000385",3,1956,"MW",-0.467,-0.023,0,1,0
"D",0,1,2000,0,4500,1000,1000,0,0,0,1000,0,"IL","Q000023",5,1958,"MW",-0.324,-0.259,0,1,0
"D",0,1,7500,0,5500,5000,7000,0,9000,0,5000,1000,"IL","D000096",11,1941,"MW",-0.486,-0.26,0,1,0
"D",0,1,0,3600,3000,0,150,2375,0,1275,175,0,"IL","S001145",10,1944,"MW",-0.603,-0.276,0,1,0
"D",0,1,5500,0,NA,NA,3000,0,8500,0,6950,0,"IL","S001190",2,1961,"MW",-0.187,-0.14,0,1,0
"D",0,1,12850,4850,15700,1200,12950,2800,9200,0,3400,1000,"IL","F000454",5,1955,"MW",-0.233,-0.215,0,1,0
"R",0,0,39805,1500,24900,5000,38950,9000,62064,0,38633,0,"IL","D000619",3,1970,"MW",0.279,0.17,1,0,0
"R",0,0,69850,5000,68400,4500,44450,1000,61800,0,94600,9400,"IL","K000378",4,1978,"MW",0.234,0.382,1,0,0
"D",0,1,9750,1000,10325,4341,16765,2400,54250,4000,10150,0,"IL","B001286",3,1961,"MW",-0.239,0.054,0,1,0
"R",0,0,19100,4600,26750,5000,35000,1000,31488,0,10500,0,"IN","W000813",3,1963,"MW",0.436,0.315,1,0,0
"D",0,1,3250,0,2250,0,0,600,0,700,NA,NA,"IN","C001072",6,1974,"MW",-0.43,0.04,0,1,0
"R",0,0,28350,0,28450,0,25500,1000,6250,0,14000,500,"IN","B001275",4,1962,"MW",0.383,0.373,1,0,0
"R",0,0,32500,0,23500,0,24300,0,27000,0,10000,0,"KY","G000558",5,1964,"SO",0.426,0.275,1,0,0
"D",0,1,4000,0,1500,0,1500,1000,0,0,5000,0,"KY","Y000062",6,1947,"SO",-0.378,-0.275,0,1,0
"R",0,0,8600,0,6000,0,2000,0,6000,0,0,0,"KY","M001184",4,1971,"SO",0.678,-0.735,1,0,0
"R",0,0,44800,0,20500,0,17500,0,1000,0,3450,0,"KY","R000395",16,1937,"SO",0.334,0.142,1,0,0
"R",0,0,107750,0,53550,0,100221,7587,42073,0,43333,0,"KY","B001282",3,1973,"SO",0.484,0.294,1,0,0
"R",0,NA,91500,0,94150,0,149825,9100,155465,750,116157,1985,"LA","S001176",6,1965,"SO",0.559,0.15,NA,NA,1
"D",0,1,19100,0,30250,0,31500,0,52800,0,NA,NA,"LA","R000588",4,1973,"SO",-0.486,0.332,0,1,0
"D",0,1,250,0,1250,1000,1075,1,1000,0,0,0,"ME","P000597",5,1955,"NE",-0.421,-0.36,0,1,0
"R",0,0,34200,0,8500,0,10350,0,250,0,500,0,"MD","H001052",4,1957,"SO",0.671,-0.374,1,0,0
"D",0,1,13750,0,4000,0,4750,0,8000,2800,2500,0,"MD","R000576",8,1946,"SO",-0.297,0.127,0,1,0
"D",0,1,0,0,0,0,500,0,0,0,0,0,"MD","S001168",6,1962,"SO",-0.465,-0.071,0,1,0
"D",0,1,75000,0,107750,4500,86500,250,121500,0,90000,0,"MD","H000874",16,1939,"SO",-0.381,0.121,0,1,0
"D",0,1,9000,1000,17000,0,7500,250,66200,1000,40600,1000,"MA","N000015",15,1949,"NE",-0.417,-0.105,0,1,0
"D",0,1,5000,5200,2510,0,1000,107,250,5600,500,0,"MA","M000312",11,1959,"NE",-0.538,-0.323,0,1,0
"D",0,1,3700,250,0,0,2750,0,0,0,750,0,"MA","L000562",9,1955,"NE",-0.348,0.037,0,1,0
"D",0,1,3500,0,10000,0,9500,0,2000,0,0,0,"MA","K000375",4,1952,"NE",-0.33,-0.112,0,1,0
"R",0,0,12300,0,22050,0,26000,0,26988,0,9000,0,"MI","H001058",4,1969,"MW",0.536,0.026,1,0,0
"D",0,1,10000,0,10600,0,5500,0,17800,0,24500,500,"MI","K000380",3,1958,"MW",-0.367,-0.174,0,1,0
"R",1,0,135350,1000,142613,0,28200,0,51788,0,33233,0,"MI","U000031",16,1953,"MW",0.32,-0.355,1,0,0
"R",0,0,26050,0,43750,0,63450,0,73238,0,25200,0,"MI","W000798",5,1951,"MW",0.501,0.142,1,0,0
"D",0,1,1000,0,1000,0,1500,250,NA,NA,3750,0,"MN","M001143",9,1954,"MW",-0.417,-0.193,0,1,0
"D",0,1,11500,0,26500,0,19000,0,11500,0,12000,0,"MS","T000193",13,1948,"SO",-0.517,0.395,0,1,0
"R",0,0,32000,0,31500,0,23000,0,20900,0,16700,0,"MS","P000601",4,1970,"SO",0.535,0.45,1,0,0
"R",0,0,51850,0,17500,0,27000,400,23011,0,18133,0,"MO","W000812",3,1962,"MW",0.393,0.284,1,0,0
"R",0,0,5500,0,7500,2500,8250,500,6000,0,1000,0,"MO","L000569",5,1952,"MW",0.452,0.23,1,0,0
"R",0,0,11200,0,5000,0,10000,2500,10300,0,32050,0,"MO","H001053",4,1960,"MW",0.478,0.229,1,0,0
"D",0,1,5000,0,3000,1000,1500,3700,4500,0,0,0,"MO","C001061",7,1944,"MW",-0.453,0.009,0,1,0
"R",0,NA,8750,2000,9000,1000,18520,3500,43000,1000,19400,0,"MO","G000546",9,1963,"MW",0.447,0.167,NA,NA,1
"R",0,0,48650,0,22000,0,25500,0,45000,0,NA,NA,"MO","L000576",4,1955,"MW",0.544,0.244,1,0,0
"R",0,0,35465,0,24600,6000,26500,2000,25000,0,20300,0,"MO","S001195",3,1980,"MW",0.581,0.254,1,0,0
"R",0,0,3500,0,3500,0,6700,1000,3500,0,7400,0,"NE","F000449",7,1960,"MW",0.304,-0.061,1,0,0
"R",0,0,9000,1500,7750,5000,12450,7000,21500,0,9000,0,"NE","S001172",6,1970,"MW",0.513,0.233,1,0,0
"D",0,1,4750,1000,6000,5500,3500,0,3500,0,2500,0,"NV","T000468",4,1950,"WE",-0.299,-0.193,0,1,0
"R",0,0,13000,0,19700,0,31500,0,14750,0,6112,0,"NV","A000369",4,1958,"WE",0.387,0.196,1,0,0
"D",0,NA,11250,500,NA,NA,NA,NA,23100,0,9500,1000,"NV","H001066",1,1973,"WE",-0.342,0.135,NA,NA,1
"D",0,1,2500,6950,8500,1000,5200,3700,6750,0,4850,1500,"NH","K000382",3,1956,"NE",-0.26,-0.098,0,1,0
"R",1,1,1500,0,NA,NA,8099,0,10988,0,0,0,"NJ","S000522",16,1953,"NE",0.178,-0.173,0,1,0
"D",0,1,26088,2500,12499,1000,24750,20250,80550,2500,42150,0,"NJ","P000034",16,1951,"NE",-0.404,-0.168,0,1,0
"D",0,1,1000,0,NA,NA,1000,0,2500,0,2000,0,"NJ","S001165",7,1951,"NE",-0.404,0.098,0,1,0
"D",0,1,10000,0,7500,6000,2000,0,16750,1000,5000,0,"NJ","P000096",11,1937,"NE",-0.368,-0.006,0,1,0
"D",0,1,8850,0,7600,0,8000,0,13000,0,18500,0,"NJ","P000604",4,1958,"NE",-0.52,-0.097,0,1,0
"D",0,1,8500,0,7000,0,4500,3500,5000,0,18250,0,"NY","M001137",11,1953,"NE",-0.415,-0.072,0,1,0
"D",0,1,500,500,1500,500,750,600,0,0,3000,0,"NY","M001188",3,1975,"NE",-0.376,-0.217,0,1,0
"D",0,1,2000,0,0,0,1000,0,3250,0,0,0,"NY","V000081",13,1953,"NE",-0.547,-0.351,0,1,0
"D",0,1,2000,1000,5000,0,4500,0,3500,0,25350,2000,"NY","J000294",3,1970,"NE",-0.486,-0.072,0,1,0
"D",0,1,0,0,5000,0,17000,0,4500,0,5200,0,"NY","C001067",6,1964,"NE",-0.609,-0.246,0,1,0
"D",0,1,250,0,0,0,1000,0,1000,0,1000,0,"NY","N000002",14,1947,"NE",-0.508,-0.484,0,1,0
"D",0,1,0,0,13300,0,3600,0,6400,250,12350,0,"NY","M000087",13,1946,"NE",-0.387,-0.285,0,1,0
"D",0,1,20500,4550,12050,3175,15925,2400,86550,3800,60750,2548,"NY","T000469",5,1949,"NE",-0.415,-0.268,0,1,0
"R",1,0,85750,4250,77325,18000,40925,500,45288,0,13300,0,"NY","R000585",5,1971,"NE",0.269,0.12,1,0,0
"D",0,1,1000,0,2000,0,6500,0,5000,0,7850,0,"NY","H001038",7,1959,"NE",-0.348,-0.032,0,1,0
"D",0,1,11000,0,6000,1000,7000,0,4500,0,7000,0,"NC","B001251",8,1947,"SO",-0.404,0.184,0,1,0
"D",0,1,1000,0,5000,0,3500,250,1000,0,4500,0,"NC","P000523",15,1940,"SO",-0.343,-0.03,0,1,0
"R",0,0,5500,1000,11073,500,26000,500,21000,0,500,0,"NC","F000450",7,1943,"SO",0.623,0.18,1,0,0
"R",0,0,18250,300,94650,0,45500,250,58188,0,17070,0,"NC","H001067",3,1971,"SO",0.526,0.178,1,0,0
"R",0,0,6000,0,47500,0,40000,4200,17500,0,22500,0,"NC","M001156",7,1975,"SO",0.529,0.131,1,0,0
"R",0,0,4500,0,7100,0,12100,100,13878,0,670,0,"OH","C000266",11,1953,"MW",0.542,-0.137,1,0,0
"R",0,0,16600,300,13100,100,4565,0,20500,0,6100,0,"OH","W000815",3,1958,"MW",0.528,0.268,1,0,0
"D",0,1,10100,0,24000,0,13000,0,17250,0,29850,0,"OH","B001281",3,1950,"MW",-0.439,0.042,0,1,0
"R",0,0,15950,0,8500,0,8000,0,18550,0,11330,300,"OH","J000289",6,1964,"MW",0.717,-0.198,1,0,0
"R",0,0,48850,10450,36750,0,69575,2500,36250,0,41500,0,"OH","L000566",6,1956,"MW",0.51,0.28,1,0,0
"R",0,0,144635,4600,99450,12500,100100,0,101350,0,33349,0,"OH","J000292",4,1954,"MW",0.436,0.235,1,0,0
"R",0,0,55150,500,13500,500,16500,1000,12500,0,0,0,"OH","G000563",4,1954,"MW",0.484,0.284,1,0,0
"D",0,1,23100,1000,17500,0,10000,250,22500,3000,12250,0,"OH","K000009",16,1946,"MW",-0.348,0.117,0,1,0
"R",0,0,7500,0,24950,0,3500,0,12011,0,12000,0,"OH","T000463",8,1960,"MW",0.269,0.245,1,0,0
"D",0,1,12750,0,21500,0,5000,0,4000,0,0,0,"OH","F000455",6,1952,"MW",-0.581,0.14,0,1,0
"D",0,1,27000,0,20500,0,16900,0,11250,500,29407,4135,"OH","R000577",8,1973,"MW",-0.402,0.208,0,1,0
"R",0,0,32900,500,25800,2300,37525,0,45311,0,25400,0,"OH","J000295",3,1957,"MW",0.256,0.301,1,0,0
"R",0,0,46700,0,41600,0,85150,0,63300,0,28400,0,"OH","S001187",4,1965,"MW",0.3,0.269,1,0,0
"R",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OK","M001190",NA,NA,"SO",NA,NA,1,0,0
"R",0,0,49550,0,23500,0,21000,0,15500,0,8800,0,"OK","L000491",13,1960,"SO",0.36,0.449,1,0,0
"R",0,0,58000,0,68750,0,31200,2793,86500,3000,2500,0,"OK","C001053",8,1949,"SO",0.324,0.4,1,0,0
"D",0,1,1500,0,2750,0,2500,0,1000,0,6250,0,"OR","B001278",4,1954,"WE",-0.396,-0.41,0,1,0
"D",0,1,5750,7750,8250,8950,14750,9125,750,0,250,500,"OR","B000574",12,1948,"WE",-0.427,-0.641,0,1,0
"D",0,1,2500,500,250,0,4050,0,6500,0,14500,0,"OR","D000191",16,1947,"WE",-0.427,-0.002,0,1,0
"D",0,1,5000,1050,29750,0,29000,0,43000,0,55500,0,"OR","S001180",5,1951,"WE",-0.182,0.054,0,1,0
"R",0,0,65750,0,30850,2700,32800,2700,53738,0,19900,0,"PA","K000376",4,1948,"NE",0.373,0.41,1,0,0
"R",0,0,9500,0,22500,0,23200,0,13200,3500,3133,0,"PA","P000605",3,1962,"NE",0.677,-0.461,1,0,0
"R",0,0,34630,0,36000,0,33100,0,20550,0,15100,0,"PA","T000467",5,1959,"NE",0.331,0.357,1,0,0
"D",0,1,37500,0,42000,0,6000,2700,43000,0,8000,0,"PA","D000482",12,1953,"NE",-0.331,0.099,0,1,0
"D",0,1,0,500,1000,0,5000,0,3000,0,6500,0,"PA","C001090",3,1961,"NE",-0.349,-0.005,0,1,0
"D",0,1,2250,1000,500,1000,460,0,1055,0,1000,5800,"RI","C001084",4,1961,"NE",-0.389,-0.262,0,1,0
"D",0,1,3050,0,5000,0,1300,0,300,0,2000,0,"RI","L000559",9,1964,"NE",-0.375,0.114,0,1,0
"R",0,0,8500,0,14750,0,25400,2700,7500,0,3500,0,"SC","W000795",9,1947,"SO",0.531,0.147,1,0,0
"R",0,0,20610,0,7000,0,31000,1000,22000,0,13500,0,"SC","D000615",4,1966,"SO",0.701,-0.1,1,0,0
"D",0,NA,52000,1500,55500,0,43000,0,59300,0,83000,0,"SC","C000537",13,1940,"SO",-0.465,0.25,NA,NA,1
"R",0,0,11500,0,28750,0,33200,0,13500,0,20150,0,"SC","R000597",3,1957,"SO",0.558,-0.217,1,0,0
"R",0,0,14000,6700,20000,0,10000,0,15800,0,15500,0,"TN","F000459",4,1962,"SO",0.434,0.406,1,0,0
"R",0,0,500,0,10650,0,0,0,6100,0,NA,NA,"TN","D000616",4,1964,"SO",0.581,-0.046,1,0,0
"D",0,1,6700,0,4750,0,5500,0,3500,0,21900,0,"TN","C000754",12,1954,"SO",-0.164,-0.033,0,1,0
"D",0,1,1000,0,500,0,0,0,0,0,0,0,"TN","C001068",6,1949,"SO",-0.392,-0.326,0,1,0
"R",0,0,16700,0,10950,0,10250,0,6050,0,0,0,"TX","G000552",7,1953,"SO",0.644,-0.406,1,0,0
"R",0,0,110050,1000,185000,3000,136850,6000,98500,0,22700,0,"TX","B000755",11,1955,"SO",0.52,0.239,1,0,0
"D",0,1,0,0,2000,0,0,0,1500,0,0,0,"TX","G000553",7,1947,"SO",-0.443,0.29,0,1,0
