"BioID","GovtrackID","last_name","first_name","Vote3","Vote4","Vote51","Vote52","Vote6","Vote7","party","name","state","district","Vote_count","Vote_change"
NA,NA,"Comstock","Barbara",NA,"-","-","-",NA,NA,"R",NA,"VA","10",3,0
"N000189",412660,"Newhouse","Dan",NA,"-","-","-","-","-","R","newhouse dan","WA","4",5,0
"M001195",412662,"Mooney","Alex",NA,"-","-","-","-","-","R","mooney alex","WV","2",5,0
NA,NA,"Jenkins","Evan",NA,"-","-","-",NA,NA,"R",NA,"WV","3",3,0
"G000576",412661,"Grothman","Glenn",NA,"-","-","-","-","-","R","grothman glenn","WI","6",5,0
"O000171",412682,"O'Halleran","Tom",NA,NA,"+","+","+","+","D","o halleran tom","AZ","1",4,0
"B001302",412683,"Biggs","Andy",NA,NA,"-","-","-","-","R","biggs andy","AZ","5",4,0
"K000389",412684,"Khanna","Ro",NA,NA,"+","+","+","+","D","khanna ro","CA","17",4,0
"P000613",412685,"Panetta","Jimmy",NA,NA,"+","+","+","+","D","panetta jimmy","CA","20",4,0
"C001112",412686,"Carbajal","Salud",NA,NA,"+","+","+","+","D","carbajal salud","CA","24",4,0
"G000585",412739,"Gomez","Jimmy",NA,NA,"+","+","+","+","D","gomez jimmy","CA","34",4,0
"B001300",412687,"Barragán","Nanette",NA,NA,"+","+","+","+","D","barrag n nanette","CA","44",4,0
"C001110",412688,"Correa","J.",NA,NA,"+","+","+","+","D","correa j","CA","46",4,0
"B001303",412689,"Blunt Rochester","Lisa",NA,NA,"+","+","+","+","D","blunt rochester lisa","DE","0",4,0
"G000578",412690,"Gaetz","Matt",NA,NA,"-",NA,"-","+","R","gaetz matt","FL","1",3,1
"D000628",412691,"Dunn","Neal",NA,NA,"-","-","-","-","R","dunn neal","FL","2",4,0
"R000609",412692,"Rutherford","John",NA,NA,"-","-","-","-","R","rutherford john","FL","4",4,0
"L000586",412693,"Lawson","Al",NA,NA,NA,"+","+","+","D","lawson al","FL","5",3,0
"M001202",412694,"Murphy","Stephanie",NA,NA,"+","+","+","+","D","murphy stephanie","FL","7",4,0
"S001200",412695,"Soto","Darren",NA,NA,"+","+","+","+","D","soto darren","FL","9",4,0
"D000627",412696,"Demings","Val",NA,NA,"+","+","+","+","D","demings val","FL","10",4,0
"C001111",412697,"Crist","Charlie",NA,NA,"+","+","+","+","D","crist charlie","FL","13",4,0
"M001199",412698,"Mast","Brian",NA,NA,"+","+","+","+","R","mast brian","FL","18",4,0
NA,NA,"Rooney","Francis",NA,NA,NA,"+","+",NA,"R","rooney francis","FL","19",2,0
"F000465",412700,"Ferguson","A. Drew",NA,NA,"-","-","-","-","R","ferguson a drew,ferguson a","GA","3",4,0
NA,NA,"Handel","Karen",NA,NA,"-","-",NA,NA,"R",NA,"GA","6",2,0
"K000391",412701,"Krishnamoorthi","Raja",NA,NA,"+","+","+","+","D","krishnamoorthi raja","IL","8",4,0
"B001299",412702,"Banks","Jim",NA,NA,"-","-","-","-","R","banks jim","IN","3",4,0
"H001074",412703,"Hollingsworth","Trey",NA,NA,"-","-","-","-","R","hollingsworth trey","IN","9",4,0
NA,NA,"Marshall","Roger",NA,NA,"-","-","-",NA,"R","marshall roger","KS","1",3,0
"E000298",412735,"Estes","Ron",NA,NA,"-","-","-","-","R","estes ron","KS","4",4,0
"C001108",412676,"Comer","James",NA,NA,"-","-","-","-","R","comer james","KY","1",4,0
"H001077",412705,"Higgins","Clay",NA,NA,"-","-","-","-","R","higgins clay","LA","3",4,0
"J000299",412706,"Johnson","Mike",NA,NA,"-","-","-",NA,"R","johnson mike","LA","4",3,0
"B001304",412707,"Brown","Anthony",NA,NA,"+","+","+","+","D","brown anthony","MD","4",4,0
"R000606",412708,"Raskin","Jamie",NA,NA,"+","+","+","+","D","raskin jamie","MD","8",4,0
"B001301",412709,"Bergman","Jack",NA,NA,"-","-","-","-","R","bergman jack","MI","1",4,0
NA,NA,"Mitchell","Paul",NA,NA,"-","-","-",NA,"R","mitchell paul","MI","10",3,0
NA,NA,"Lewis","Jason",NA,NA,"-","-",NA,NA,"R",NA,"MN","2",2,0
NA,NA,"Gianforte","Greg",NA,NA,"-","-","-",NA,"R","gianforte greg","MT","0",3,0
"B001298",412713,"Bacon","Don",NA,NA,"-","-","-","-","R","bacon don","NE","2",4,0
NA,NA,"Rosen","Jacky",NA,NA,"+","+",NA,NA,"D",NA,"NV","3",2,0
NA,NA,"Kihuen","Ruben",NA,NA,"+","+",NA,NA,"D",NA,"NV","4",2,0
"G000583",412714,"Gottheimer","Josh",NA,NA,"+","+","+","+","D","gottheimer josh","NJ","5",4,0
"S001201",412717,"Suozzi","Thomas",NA,NA,"+","+","+","+","D","suozzi thomas","NY","3",4,0
"E000297",412718,"Espaillat","Adriano",NA,NA,"+","+","+","+","D","espaillat adriano","NY","13",4,0
NA,NA,"Faso","John",NA,NA,"+","+",NA,NA,"R",NA,"NY","19",2,0
"T000478",412720,"Tenney","Claudia",NA,NA,"-","-",NA,"-","R","tenney claudia","NY","22",3,0
"B001305",412712,"Budd","Ted",NA,NA,"-","-","-","-","R","budd ted","NC","13",4,0
"E000296",412677,"Evans","Dwight",NA,NA,"+","+","+","+","D","evans dwight","PA","2",4,0
"F000466",412721,"Fitzpatrick","Brian",NA,NA,"+","+","+","+","R","fitzpatrick brian","PA","8",4,0
"S001199",412722,"Smucker","Lloyd",NA,NA,"-","-","-","-","R","smucker lloyd","PA","16",4,0
"N000190",412738,"Norman","Ralph",NA,NA,"-","-","-","-","R","norman ralph","SC","5",4,0
"K000392",412724,"Kustoff","David",NA,NA,"-","-","-","-","R","kustoff david","TN","8",4,0
"G000581",412725,"Gonzalez","Vicente",NA,NA,"-","+","+","+","D","gonzalez vicente","TX","15",4,1
"A000375",412726,"Arrington","Jodey",NA,NA,"-","-","-","-","R","arrington jodey","TX","19",4,0
NA,NA,"Taylor","Scott",NA,NA,"-","-",NA,NA,"R",NA,"VA","2",2,0
"M001200",412728,"McEachin","A. Donald",NA,NA,NA,"+","+","+","D","mceachin a donald","VA","4",3,0
NA,NA,"Garrett","Thomas",NA,NA,NA,"-",NA,NA,"R",NA,"VA","5",1,0
"J000298",412730,"Jayapal","Pramila",NA,NA,"+","+","+","+","D","jayapal pramila","WA","7",4,0
"G000579",412731,"Gallagher","Mike",NA,NA,"-","-","-","-","R","gallagher mike","WI","8",4,0
"C001109",412732,"Cheney","Liz",NA,NA,"-","-","-","-","R","cheney liz","WY","0",4,0
"C001115",412746,"Cloud","Michael",NA,NA,NA,"-","-","-","R","cloud michael","OH","10",3,0
"L000589",412745,"Lesko","Debbie",NA,NA,NA,"-","-","-","R","lesko debbie","OH","10",3,0
"L000588",412744,"Lamb","Conor",NA,NA,NA,"+","+","+","D","lamb conor","PA","18",3,0
"C001114",412740,"Curtis","John",NA,NA,NA,"-","-","-","R","curtis john","UT","3",3,0
"S001211",412753,"Stanton","Greg",NA,NA,NA,NA,"+","+","D","stanton greg","AZ","9",2,0
"H001090",412754,"Harder","Josh",NA,NA,NA,NA,"+","+","D","harder josh","CA","10",2,0
"P000618",412758,"Porter","Katie",NA,NA,NA,NA,"+","+","D","porter katie","CA","45",2,0
"L000593",412760,"Levin","Mike",NA,NA,NA,NA,"+","+","D","levin mike","CA","49",2,0
"N000191",412761,"Neguse","Joe",NA,NA,NA,NA,"+","+","D","neguse joe","CO","2",2,0
"C001121",412762,"Crow","Jason",NA,NA,NA,NA,"+","+","D","crow jason","CO","6",2,0
"H001081",412763,"Hayes","Jahana",NA,NA,NA,NA,"+","+","D","hayes jahana","CT","5",2,0
"W000823",412764,"Waltz","Michael",NA,NA,NA,NA,"+","-","R","waltz michael","FL","6",2,1
"S001214",412766,"Steube","Greg",NA,NA,NA,NA,"-","-","R","steube greg","FL","17",2,0
"M001208",412769,"McBath","Lucy",NA,NA,NA,NA,"+","+","D","mcbath lucy","GA","6",2,0
"C001055",400069,"Case","Ed",NA,NA,NA,NA,"+","+","D","case ed","HI","1",2,0
"F000469",412773,"Fulcher","Russ",NA,NA,NA,NA,"-",NA,"R","fulcher russ","ID","1",1,0
"G000586",412774,"García","Jesús",NA,NA,NA,NA,"+","+","D","garc a jes s","IL","4",2,0
"C001117",412775,"Casten","Sean",NA,NA,NA,NA,"+","+","D","casten sean","IL","6",2,0
"U000040",412776,"Underwood","Lauren",NA,NA,NA,NA,"+","+","D","underwood lauren","IL","14",2,0
"B001307",412777,"Baird","James",NA,NA,NA,NA,"-","-","R","baird james","IN","4",2,0
"P000615",412778,"Pence","Greg",NA,NA,NA,NA,"-","-","R","pence greg","IN","6",2,0
"A000378",412772,"Axne","Cynthia",NA,NA,NA,NA,"+","+","D","axne cynthia","IA","3",2,0
"D000629",412780,"Davids","Sharice",NA,NA,NA,NA,"+","+","D","davids sharice","KS","3",2,0
"G000592",412842,"Golden","Jared",NA,NA,NA,NA,"+","+","D","golden jared","ME","2",2,0
"T000483",412783,"Trone","David",NA,NA,NA,NA,"+",NA,"D","trone david","MD","6",1,0
"T000482",412781,"Trahan","Lori",NA,NA,NA,NA,"+","+","D","trahan lori","MA","3",2,0
"P000617",412782,"Pressley","Ayanna",NA,NA,NA,NA,"+","+","D","pressley ayanna","MA","7",2,0
"S001208",412784,"Slotkin","Elissa",NA,NA,NA,NA,"+","+","D","slotkin elissa","MI","8",2,0
"L000592",412785,"Levin","Andy",NA,NA,NA,NA,"+","+","D","levin andy","MI","9",2,0
"S001215",412786,"Stevens","Haley",NA,NA,NA,NA,"+","+","D","stevens haley","MI","11",2,0
"T000481",412787,"Tlaib","Rashida",NA,NA,NA,NA,"+","+","D","tlaib rashida","MI","13",2,0
"H001088",412788,"Hagedorn","Jim",NA,NA,NA,NA,"-","-","R","hagedorn jim","MN","1",2,0
"C001119",412789,"Craig","Angie",NA,NA,NA,NA,"+","+","D","craig angie","MN","2",2,0
"P000616",412790,"Phillips","Dean",NA,NA,NA,NA,"+","+","D","phillips dean","MN","3",2,0
"O000173",412791,"Omar","Ilhan",NA,NA,NA,NA,"+","+","D","omar ilhan","MN","5",2,0
"S001212",412792,"Stauber","Pete",NA,NA,NA,NA,"-","-","R","stauber pete","MN","8",2,0
"G000591",412793,"Guest","Michael",NA,NA,NA,NA,"-","-","R","guest michael","MS","3",2,0
"L000590",412802,"Lee","Susie",NA,NA,NA,NA,"+","+","D","lee susie","NV","3",2,0
"P000614",412795,"Pappas","Chris",NA,NA,NA,NA,"+","+","D","pappas chris","NH","1",2,0
"V000133",412796,"Van Drew","Jefferson",NA,NA,NA,NA,"+","+","R","van drew jefferson","NJ","2",2,0
"K000394",412797,"Kim","Andy",NA,NA,NA,NA,"+","+","D","kim andy","NJ","3",2,0
"M001203",412798,"Malinowski","Tom",NA,NA,NA,NA,"+","+","D","malinowski tom","NJ","7",2,0
"S001207",412799,"Sherrill","Mikie",NA,NA,NA,NA,"+","+","D","sherrill mikie","NJ","11",2,0
"H001080",412800,"Haaland","Debra",NA,NA,NA,NA,"+",NA,"D","haaland debra","NM","1",1,0
"O000172",412804,"Ocasio-Cortez","Alexandria",NA,NA,NA,NA,"+","+","D","ocasio cortez alexandria","NY","14",2,0
"D000630",412805,"Delgado","Antonio",NA,NA,NA,NA,"+","+","D","delgado antonio","NY","19",2,0
"M001206",412749,"Morelle","Joe",NA,NA,NA,NA,"+","+","D","morelle joe","NY","25",2,0
"A000377",412794,"Armstrong","Kelly",NA,NA,NA,NA,"-","-","R","armstrong kelly","ND","0",2,0
"B001306",412747,"Balderson","Troy",NA,NA,NA,NA,"-","-","R","balderson troy","OH","12",2,0
"G000588",412807,"Gonzalez","Anthony",NA,NA,NA,NA,"-","-","R","gonzalez anthony","OH","16",2,0
"H001082",412748,"Hern","Kevin",NA,NA,NA,NA,"-",NA,"R","hern kevin","OK","1",1,0
"D000631",412809,"Dean","Madeleine",NA,NA,NA,NA,"+","+","D","dean madeleine","PA","4",2,0
"S001205",412750,"Scanlon","Mary Gay",NA,NA,NA,NA,"+","+","D","scanlon mary gay,scanlon mary","PA","5",2,0
"H001085",412810,"Houlahan","Chrissy",NA,NA,NA,NA,"+","+","D","houlahan chrissy","PA","6",2,0
"W000826",412751,"Wild","Susan",NA,NA,NA,NA,"+","+","D","wild susan","PA","7",2,0
"M001204",412811,"Meuser","Daniel",NA,NA,NA,NA,"-","-","R","meuser daniel","PA","9",2,0
"K000395",412843,"Keller","Fred",NA,NA,NA,NA,"-","-","R","keller fred","PA","12",2,0
"J000302",412812,"Joyce","John",NA,NA,NA,NA,"-","-","R","joyce john","PA","13",2,0
"R000610",412813,"Reschenthaler","Guy",NA,NA,NA,NA,"-","-","R","reschenthaler guy","PA","14",2,0
"T000480",412815,"Timmons","William",NA,NA,NA,NA,"-","-","R","timmons william","SC","4",2,0
"J000301",412816,"Johnson","Dusty",NA,NA,NA,NA,"-","-","R","johnson dusty","SD","0",2,0
"B001309",412817,"Burchett","Tim",NA,NA,NA,NA,"-","-","R","burchett tim","TN","2",2,0
"R000612",412818,"Rose","John",NA,NA,NA,NA,"-","-","R","rose john","TN","6",2,0
"G000590",412819,"Green","Mark",NA,NA,NA,NA,"-","-","R","green mark","TN","7",2,0
"C001120",412820,"Crenshaw","Dan",NA,NA,NA,NA,"-","-","R","crenshaw dan","TX","2",2,0
"T000479",412821,"Taylor","Van",NA,NA,NA,NA,"-","-","R","taylor van","TX","3",2,0
"G000589",412822,"Gooden","Lance",NA,NA,NA,NA,"-","-","R","gooden lance","TX","5",2,0
"W000827",412823,"Wright","Ron",NA,NA,NA,NA,"-",NA,"R","wright ron","TX","6",1,0
"F000468",412824,"Fletcher","Lizzie",NA,NA,NA,NA,"+","+","D","fletcher lizzie","TX","7",2,0
"E000299",412825,"Escobar","Veronica",NA,NA,NA,NA,"+","+","D","escobar veronica","TX","16",2,0
"R000614",412826,"Roy","Chip",NA,NA,NA,NA,"-","-","R","roy chip","TX","21",2,0
"G000587",412827,"Garcia","Sylvia",NA,NA,NA,NA,"+","+","D","garcia sylvia","TX","29",2,0
"A000376",412828,"Allred","Colin",NA,NA,NA,NA,"+","+","D","allred colin","TX","32",2,0
"L000591",412830,"Luria","Elaine",NA,NA,NA,NA,"+","+","D","luria elaine","VA","2",2,0
"C001118",412832,"Cline","Ben",NA,NA,NA,NA,"-","-","R","cline ben","VA","6",2,0
"S001209",412833,"Spanberger","Abigail",NA,NA,NA,NA,"+","+","D","spanberger abigail","VA","7",2,0
"W000825",412834,"Wexton","Jennifer",NA,NA,NA,NA,"+","+","D","wexton jennifer","VA","10",2,0
"S001216",412835,"Schrier","Kim",NA,NA,NA,NA,"+","+","D","schrier kim","WA","8",2,0
"M001205",412837,"Miller","Carol",NA,NA,NA,NA,"-","-","R","miller carol","WV","3",2,0
"S001213",412836,"Steil","Bryan",NA,NA,NA,NA,"-","-","R","steil bryan","WI","1",2,0
NA,NA,"Radewagen","Amata Coleman",NA,NA,NA,NA,"-",NA,"R","radewagen amata coleman","AS","0",1,0
NA,NA,"Cox","TJ",NA,NA,NA,NA,"+",NA,"D","cox tj","CA","21",1,0
NA,NA,"Hill","Katie",NA,NA,NA,NA,"+",NA,"D","hill katie","CA","25",1,0
NA,NA,"Cisneros","Gilbert",NA,NA,NA,NA,"+",NA,"D","cisneros gilbert","CA","39",1,0
NA,NA,"Rouda","Harley",NA,NA,NA,NA,"+",NA,"D","rouda harley","CA","48",1,0
NA,NA,"Norton","Eleanor Holmes",NA,NA,NA,NA,"+",NA,"D","norton eleanor holmes","DC","0",1,0
NA,NA,"Spano","Ross",NA,NA,NA,NA,"-",NA,"R","spano ross","FL","15",1,0
NA,NA,"Mucarsel-Powell","Debbie",NA,NA,NA,NA,"+",NA,"D","mucarsel powell debbie","FL","26",1,0
NA,NA,"Shalala","Donna",NA,NA,NA,NA,"+",NA,"D","shalala donna","FL","27",1,0
NA,NA,"San Nicolas","Michael",NA,NA,NA,NA,"+",NA,"D","san nicolas michael","GU","0",1,0
NA,NA,"Finkenauer","Abby",NA,NA,NA,NA,"+",NA,"D","finkenauer abby","IA","1",1,0
NA,NA,"Watkins","Steven",NA,NA,NA,NA,"-",NA,"R","watkins steven","KS","2",1,0
NA,NA,"Torres Small","Xochitl",NA,NA,NA,NA,"+",NA,"D","torres small xochitl","NM","2",1,0
NA,NA,"Rose","Max",NA,NA,NA,NA,"+",NA,"D","rose max","NY","11",1,0
NA,NA,"Brindisi","Anthony",NA,NA,NA,NA,"+",NA,"D","brindisi anthony","NY","22",1,0
NA,NA,"Sablan","Gregorio Kilili Camacho",NA,NA,NA,NA,"+",NA,"D","sablan gregorio kilili camacho","MP","0",1,0
NA,NA,"Horn","Kendra",NA,NA,NA,NA,"+",NA,"D","horn kendra","OK","5",1,0
NA,NA,"González-Colón","Jenniffer",NA,NA,NA,NA,"-",NA,"R","gonz lez col n jenniffer","PR","0",1,0
NA,NA,"Cunningham","Joe",NA,NA,NA,NA,"+",NA,"D","cunningham joe","SC","1",1,0
NA,NA,"McAdams","Ben",NA,NA,NA,NA,"+",NA,"D","mcadams ben","UT","4",1,0
NA,NA,"Plaskett","Stacey",NA,NA,NA,NA,"+",NA,"D","plaskett stacey","VI","0",1,0
NA,NA,"Riggleman","Denver",NA,NA,NA,NA,"-",NA,"R","riggleman denver","VA","5",1,0
"O000019",456801,"Obernolte","Jay",NA,NA,NA,NA,NA,"-","R","obernolte jay","CA","8",1,0
"V000129",412515,"Valadao","David",NA,NA,NA,NA,NA,"-","R","valadao david","CA","21",1,0
"G000061",456792,"Garcia","Mike",NA,NA,NA,NA,NA,"-","R","garcia mike","CA","25",1,0
"K000397",456802,"Kim","Young",NA,NA,NA,NA,NA,"+","R","kim young","CA","39",1,0
"S001135",456803,"Steel","Michelle",NA,NA,NA,NA,NA,"-","R","steel michelle","CA","48",1,0
"J000305",456804,"Jacobs","Sara",NA,NA,NA,NA,NA,"+","D","jacobs sara","CA","53",1,0
"G000597",456836,"Garbarino","Andrew",NA,NA,NA,NA,NA,"+","R","garbarino andrew","NY","2",1,0
"M000317",456837,"Malliotakis","Nicole",NA,NA,NA,NA,NA,"-","R","malliotakis nicole","NY","11",1,0
"T000486",456838,"Torres","Ritchie",NA,NA,NA,NA,NA,"+","D","torres ritchie","NY","15",1,0
"B001223",456839,"Bowman","Jamaal",NA,NA,NA,NA,NA,"+","D","bowman jamaal","NY","16",1,0
"J000306",456840,"Jones","Mondaire",NA,NA,NA,NA,NA,"+","D","jones mondaire","NY","17",1,0
"M001185",412562,"Maloney","Sean",NA,NA,NA,NA,NA,"+","D","maloney sean","NY","18",1,0
"J000020",456793,"Jacobs","Chris",NA,NA,NA,NA,NA,"-","R","jacobs chris","NY","27",1,0
"C001039",456806,"Cammack","Kat",NA,NA,NA,NA,NA,"-","R","cammack kat","FL","3",1,0
"F000472",456807,"Franklin","Scott",NA,NA,NA,NA,NA,"-","R","franklin scott","FL","15",1,0
"D000032",456808,"Donalds","Byron",NA,NA,NA,NA,NA,"-","R","donalds byron","FL","19",1,0
"G000593",456809,"GimÃ©nez","Carlos",NA,NA,NA,NA,NA,"-","R","gim nez carlos","FL","26",1,0
"S000168",456810,"Salazar","Maria",NA,NA,NA,NA,NA,"+","R","salazar maria","FL","27",1,0
"C001054",456799,"Carl","Jerry",NA,NA,NA,NA,NA,"-","R","carl jerry","AL","1",1,0
"M001212",456800,"Moore","Barry",NA,NA,NA,NA,NA,"-","R","moore barry","AL","2",1,0
"K000396",456815,"Kahele","KaialiÊ»i",NA,NA,NA,NA,NA,"+","D","kahele kaiali i","HI","2",1,0
"B001224",456829,"Bush","Cori",NA,NA,NA,NA,NA,"+","D","bush cori","MO","1",1,0
"H001086",456844,"Harshbarger","Diana",NA,NA,NA,NA,NA,"-","R","harshbarger diana","TN","1",1,0
"C001125",456860,"Carter","Troy",NA,NA,NA,NA,NA,"+","D","carter troy","LA","2",1,0
"L000595",456859,"Letlow","Julia",NA,NA,NA,NA,NA,"-","R","letlow julia","LA","5",1,0
"M001186",456826,"Meijer","Peter",NA,NA,NA,NA,NA,"+","R","meijer peter","MI","3",1,0
"M001136",456827,"McClain","Lisa",NA,NA,NA,NA,NA,"-","R","mcclain lisa","MI","10",1,0
"C001126",456864,"Carey","Mike",NA,NA,NA,NA,NA,NA,"R","carey mike","OH","0",0,0
"B001313",456863,"Brown","Shontel",NA,NA,NA,NA,NA,NA,"D","brown shontel","OH","0",0,0
"F000470",456828,"Fischbach","Michelle",NA,NA,NA,NA,NA,"-","R","fischbach michelle","MN","7",1,0
"F000471",456855,"Fitzgerald","Scott",NA,NA,NA,NA,NA,"-","R","fitzgerald scott","WI","5",1,0
"T000165",456791,"Tiffany","Tom",NA,NA,NA,NA,NA,"-","R","tiffany tom","WI","7",1,0
"W000788",456811,"Williams","Nikema",NA,NA,NA,NA,NA,"+","D","williams nikema","GA","5",1,0
"B001312",456812,"Bourdeaux","Carolyn",NA,NA,NA,NA,NA,"+","D","bourdeaux carolyn","GA","7",1,0
"C001116",456813,"Clyde","Andrew",NA,NA,NA,NA,NA,"-","R","clyde andrew","GA","9",1,0
"G000596",456814,"Greene","Marjorie",NA,NA,NA,NA,NA,"-","R","greene marjorie","GA","14",1,0
"M000687",407672,"Mfume","Kweisi",NA,NA,NA,NA,NA,"+","D","mfume kweisi","MD","7",1,0
"F000246",456845,"Fallon","Pat",NA,NA,NA,NA,NA,"-","R","fallon pat","TX","4",1,0
"E000071",456862,"Ellzey","Jake",NA,NA,NA,NA,NA,NA,"R","ellzey jake","TX","6",0,0
"P000048",456846,"Pfluger","August",NA,NA,NA,NA,NA,"-","R","pfluger august","TX","11",1,0
"J000304",456847,"Jackson","Ronny",NA,NA,NA,NA,NA,"-","R","jackson ronny","TX","13",1,0
"N000026",456848,"Nehls","Troy",NA,NA,NA,NA,NA,"-","R","nehls troy","TX","22",1,0
"G000594",456849,"Gonzales","Tony",NA,NA,NA,NA,NA,"-","R","gonzales tony","TX","23",1,0
"V000134",456850,"Van Duyne","Beth",NA,NA,NA,NA,NA,"-","R","van duyne beth","TX","24",1,0
"R000103",456830,"Rosendale","Matt",NA,NA,NA,NA,NA,"-","R","rosendale matt","MT","0",1,0
"B000825",456805,"Boebert","Lauren",NA,NA,NA,NA,NA,"-","R","boebert lauren","CO","3",1,0
"N000192",456819,"Newman","Marie",NA,NA,NA,NA,NA,"+","D","newman marie","IL","3",1,0
"M001211",456820,"Miller","Mary",NA,NA,NA,NA,NA,"-","R","miller mary","IL","15",1,0
"S001218",456861,"Stansbury","Melanie",NA,NA,NA,NA,NA,"+","D","stansbury melanie","NM","1",1,0
"H001084",456834,"Herrell","Yvette",NA,NA,NA,NA,NA,"-","R","herrell yvette","NM","2",1,0
"L000273",456835,"Fernandez","Teresa",NA,NA,NA,NA,NA,"+","D","fernandez teresa","NM","3",1,0
"M001213",456851,"Moore","Blake",NA,NA,NA,NA,NA,"-","R","moore blake","UT","1",1,0
"O000086",456852,"Owens","Burgess",NA,NA,NA,NA,NA,"-","R","owens burgess","UT","4",1,0
"B000668",456842,"Bentz","Cliff",NA,NA,NA,NA,NA,"-","R","bentz cliff","OR","2",1,0
"B000740",456841,"Bice","Stephanie",NA,NA,NA,NA,NA,"-","R","bice stephanie","OK","5",1,0
"H001091",456816,"Hinson","Ashley",NA,NA,NA,NA,NA,"-","R","hinson ashley","IA","1",1,0
"M001215",456817,"Miller-Meeks","Mariannette",NA,NA,NA,NA,NA,"-","R","miller meeks mariannette","IA","2",1,0
"F000446",456818,"Feenstra","Randy",NA,NA,NA,NA,NA,"-","R","feenstra randy","IA","4",1,0
"A000148",456825,"Auchincloss","Jake",NA,NA,NA,NA,NA,"+","D","auchincloss jake","MA","4",1,0
"M001214",456821,"Mrvan","Frank",NA,NA,NA,NA,NA,"+","D","mrvan frank","IN","1",1,0
"S000929",456822,"Spartz","Victoria",NA,NA,NA,NA,NA,"-","R","spartz victoria","IN","5",1,0
"R000305",456831,"Ross","Deborah",NA,NA,NA,NA,NA,"+","D","ross deborah","NC","2",1,0
"M001210",412845,"Murphy","Greg",NA,NA,NA,NA,NA,"-","R","murphy greg","NC","3",1,0
"M001135",456832,"Manning","Kathy",NA,NA,NA,NA,NA,"+","D","manning kathy","NC","6",1,0
"B001311",412844,"Bishop","Dan",NA,NA,NA,NA,NA,"-","R","bishop dan","NC","9",1,0
"C001104",456833,"Cawthorn","Madison",NA,NA,NA,NA,NA,"-","R","cawthorn madison","NC","11",1,0
"G000595",456853,"Good","Robert",NA,NA,NA,NA,NA,"-","R","good robert","VA","5",1,0
"S001159",456854,"Strickland","Marilyn",NA,NA,NA,NA,NA,"+","D","strickland marilyn","WA","10",1,0
"M000194",456843,"Mace","Nancy",NA,NA,NA,NA,NA,"+","R","mace nancy","SC","1",1,0
"M000871",456823,"Mann","Tracey",NA,NA,NA,NA,NA,"-","R","mann tracey","KS","1",1,0
"L000266",456824,"LaTurner","Jake",NA,NA,NA,NA,NA,"-","R","laturner jake","KS","2",1,0
