"last_name","first_name","Vote6","BioID","GovtrackID","Vote7","Party","State","District"
"Adams","Alma","+","A000370",412607,"+","D","NC","NC-12"
"Budd","Ted","-","B001305",412712,"-","R","NC","NC-13"
"Armstrong","Kelly","-","A000377",412794,"-","R","ND","ND-AL"
"Sablan","Gregorio Kilili Camacho","+",NA,NA,NA,"D","MP","MP-AL"
"Chabot","Steve","-","C000266",400071,"-","R","OH","OH-01"
"Wenstrup","Brad R.","-",NA,NA,NA,"R","OH","OH-02"
"Beatty","Joyce","+","B001281",412565,"+","D","OH","OH-03"
"Jordan","Jim","-","J000289",412226,"-","R","OH","OH-04"
"Latta","Bob","-","L000566",412256,"-","R","OH","OH-05"
"Johnson","Bill","-","J000292",412460,"-","R","OH","OH-06"
"Gibbs","Bob","-","G000563",412463,"-","R","OH","OH-07"
"Davidson","Warren","-","D000626",412675,"-","R","OH","OH-08"
"Kaptur","Marcy","+","K000009",400211,"+","D","OH","OH-09"
"Turner","Michael R.","-",NA,NA,NA,"R","OH","OH-10"
"Fudge","Marcia L.","+",NA,NA,NA,"D","OH","OH-11"
"Balderson","Troy","-","B001306",412747,"-","R","OH","OH-12"
"Ryan","Tim","?","R000577",400352,"+","D","OH","OH-13"
"Joyce","David P.","-",NA,NA,NA,"R","OH","OH-14"
"Stivers","Steve","-","S001187",412461,NA,"R","OH","OH-15"
"Gonzalez","Anthony","-","G000588",412807,"-","R","OH","OH-16"
"Hern","Kevin","-","H001082",412748,"?","R","OK","OK-01"
"Mullin","Markwayne","-","M001190",412568,"-","R","OK","OK-02"
"Lucas","Frank D.","-",NA,NA,NA,"R","OK","OK-03"
"Cole","Tom","-","C001053",400077,"-","R","OK","OK-04"
"Horn","Kendra","+",NA,NA,NA,"D","OK","OK-05"
"Bonamici","Suzanne","+","B001278",412501,"+","D","OR","OR-01"
"Walden","Greg P.","-",NA,NA,NA,"R","OR","OR-02"
"Blumenauer","Earl","+","B000574",400033,"+","D","OR","OR-03"
"DeFazio","Peter A.","+",NA,NA,NA,"D","OR","OR-04"
"Schrader","Kurt","+","S001180",412315,"+","D","OR","OR-05"
"Fitzpatrick","Brian","+","F000466",412721,"+","R","PA","PA-01"
"Boyle","Brendan","+","B001296",412652,"+","D","PA","PA-02"
"Evans","Dwight","+","E000296",412677,"+","D","PA","PA-03"
"Dean","Madeleine","+","D000631",412809,"+","D","PA","PA-04"
"Scanlon","Mary Gay","+",NA,NA,NA,"D","PA","PA-05"
"Houlahan","Chrissy","+","H001085",412810,"+","D","PA","PA-06"
"Wild","Susan","+","W000826",412751,"+","D","PA","PA-07"
"Cartwright","Matt A.","+",NA,NA,NA,"D","PA","PA-08"
"Meuser","Daniel","-","M001204",412811,"-","R","PA","PA-09"
"Perry","Scott","-","P000605",412569,"-","R","PA","PA-10"
"Smucker","Lloyd","-","S001199",412722,"-","R","PA","PA-11"
"Keller","Fred","-","K000395",412843,"-","R","PA","PA-12"
"Joyce","John","-","J000302",412812,"-","R","PA","PA-13"
"Reschenthaler","Guy","-","R000610",412813,"-","R","PA","PA-14"
"Thompson","Glenn W.","-",NA,NA,NA,"R","PA","PA-15"
"Kelly","Mike","-","K000376",412465,"-","R","PA","PA-16"
"Lamb","Conor","+","L000588",412744,"+","D","PA","PA-17"
"Doyle","Mike","+","D000482",400114,"+","D","PA","PA-18"
"González-Colón","Jenniffer","-",NA,NA,NA,"R","PR","PR-AL"
"Cicilline","David","+","C001084",412470,"+","D","RI","RI-01"
"Langevin","Jim","+","L000559",400230,"+","D","RI","RI-02"
"Cunningham","Joe","+",NA,NA,NA,"D","SC","SC-01"
"Wilson","Joe","-","W000795",400433,"-","R","SC","SC-02"
"Duncan","Jeff","-","D000615",412472,"-","R","SC","SC-03"
"Timmons","William","-","T000480",412815,"-","R","SC","SC-04"
"Norman","Ralph","-","N000190",412738,"-","R","SC","SC-05"
"Clyburn","James E.","+",NA,NA,NA,"D","SC","SC-06"
"Rice","Tom","-","R000597",412572,"-","R","SC","SC-07"
"Johnson","Dusty","-","J000301",412816,"-","R","SD","SD-AL"
"Roe","Phil","-",NA,NA,NA,"R","TN","TN-01"
"Burchett","Tim","-","B001309",412817,"-","R","TN","TN-02"
"Fleischmann","Chuck","-","F000459",412476,"-","R","TN","TN-03"
"DesJarlais","Scott","-","D000616",412477,"-","R","TN","TN-04"
"Cooper","Jim","+","C000754",400081,"+","D","TN","TN-05"
"Rose","John","-","R000612",412818,"-","R","TN","TN-06"
"Green","Mark","-","G000590",412819,"-","R","TN","TN-07"
"Kustoff","David","-","K000392",412724,"-","R","TN","TN-08"
"Cohen","Steve","+","C001068",412236,"+","D","TN","TN-09"
"Gohmert","Louie","-","G000552",400651,"-","R","TX","TX-01"
"Crenshaw","Dan","-","C001120",412820,"-","R","TX","TX-02"
"Taylor","Van","-","T000479",412821,"-","R","TX","TX-03"
"Ratcliffe","John","-",NA,NA,NA,"R","TX","TX-04"
"Gooden","Lance","-","G000589",412822,"-","R","TX","TX-05"
"Wright","Ron","-","W000827",412823,NA,"R","TX","TX-06"
"Fletcher","Lizzie","+","F000468",412824,"+","D","TX","TX-07"
"Brady","Kevin P.","-",NA,NA,NA,"R","TX","TX-08"
"Green","Al","+","G000553",400653,"+","D","TX","TX-09"
"McCaul","Michael T.","-",NA,NA,NA,"R","TX","TX-10"
"Conaway","K. Michael","-",NA,NA,NA,"R","TX","TX-11"
"Granger","Kay","-","G000377",400157,"-","R","TX","TX-12"
"Thornberry","Mac","-",NA,NA,NA,"R","TX","TX-13"
"Weber","Randy K.","-",NA,NA,NA,"R","TX","TX-14"
"Gonzalez","Vicente","+","G000581",412725,"+","D","TX","TX-15"
"Escobar","Veronica","+","E000299",412825,"+","D","TX","TX-16"
"Flores","Bill","-",NA,NA,NA,"R","TX","TX-17"
"Jackson Lee","Sheila","+","J000032",400199,"+","D","TX","TX-18"
"Arrington","Jodey","-","A000375",412726,"-","R","TX","TX-19"
"Castro","Joaquin","+","C001091",412576,"+","D","TX","TX-20"
"Roy","Chip","-","R000614",412826,"-","R","TX","TX-21"
"Olson","Pete","-",NA,NA,NA,"R","TX","TX-22"
"Hurd","Will","-",NA,NA,NA,"R","TX","TX-23"
"Marchant","Kenny E.","-",NA,NA,NA,"R","TX","TX-24"
"Williams","Roger","-","W000816",412578,"-","R","TX","TX-25"
"Burgess","Michael C.","-",NA,NA,NA,"R","TX","TX-26"
"Cloud","Michael","-","C001115",412746,"-","R","TX","TX-27"
"Cuellar","Henry","+","C001063",400657,"+","D","TX","TX-28"
"Garcia","Sylvia","+","G000587",412827,"+","D","TX","TX-29"
"Johnson","Eddie Bernice","+","J000126",400204,"+","D","TX","TX-30"
"Carter","John R.","-",NA,NA,NA,"R","TX","TX-31"
"Allred","Colin","+","A000376",412828,"+","D","TX","TX-32"
"Veasey","Marc A.","+",NA,NA,NA,"D","TX","TX-33"
"Vela","Filemon","+","V000132",412580,"+","D","TX","TX-34"
"Doggett","Lloyd A.","+",NA,NA,NA,"D","TX","TX-35"
"Babin","Brian","-","B001291",412655,"-","R","TX","TX-36"
"Bishop","Rob","-",NA,NA,NA,"R","UT","UT-01"
"Stewart","Chris","-","S001192",412581,"-","R","UT","UT-02"
"Curtis","John","-","C001114",412740,"-","R","UT","UT-03"
"McAdams","Ben","+",NA,NA,NA,"D","UT","UT-04"
"Welch","Peter F.","+",NA,NA,NA,"D","VT","VT-AL"
"Plaskett","Stacey","+",NA,NA,NA,"D","VI","VI-AL"
"Wittman","Rob","-","W000804",412255,"-","R","VA","VA-01"
"Luria","Elaine","+","L000591",412830,"+","D","VA","VA-02"
"Scott","Robert C.","+",NA,NA,NA,"D","VA","VA-03"
"McEachin","A. Donald","+","M001200",412728,"+","D","VA","VA-04"
"Riggleman","Denver","-",NA,NA,NA,"R","VA","VA-05"
"Cline","Ben","-","C001118",412832,"-","R","VA","VA-06"
"Spanberger","Abigail","+","S001209",412833,"+","D","VA","VA-07"
"Beyer","Donald","+","B001292",412657,"+","D","VA","VA-08"
"Griffith","Morgan","-","G000568",412485,"-","R","VA","VA-09"
"Wexton","Jennifer","+","W000825",412834,"+","D","VA","VA-10"
"Connolly","Gerald E.","+",NA,NA,NA,"D","VA","VA-11"
"DelBene","Suzan K.","+",NA,NA,NA,"D","WA","WA-01"
"Larsen","Rick","+","L000560",400232,"+","D","WA","WA-02"
"Herrera-Beutler","Jaime","?","H001056",412486,"-","R","WA","WA-03"
"Newhouse","Dan","-","N000189",412660,"-","R","WA","WA-04"
"McMorris Rodgers","Cathy","-","M001159",400659,"-","R","WA","WA-05"
"Kilmer","Derek","+","K000381",412583,"+","D","WA","WA-06"
"Jayapal","Pramila","+","J000298",412730,"+","D","WA","WA-07"
"Schrier","Kim","+","S001216",412835,"+","D","WA","WA-08"
"Smith","Adam","+","S000510",400379,"+","D","WA","WA-09"
"Heck","Denny","+",NA,NA,NA,"D","WA","WA-10"
"McKinley","David","-","M001180",412487,"-","R","WV","WV-01"
"Mooney","Alex","-","M001195",412662,"-","R","WV","WV-02"
"Miller","Carol","-","M001205",412837,"-","R","WV","WV-03"
"Steil","Bryan","-","S001213",412836,"-","R","WI","WI-01"
"Pocan","Mark","+","P000607",412585,"+","D","WI","WI-02"
"Kind","Ron","+","K000188",400218,"+","D","WI","WI-03"
"Moore","Gwen","+","M001160",400661,"+","D","WI","WI-04"
"Sensenbrenner","James F.","-",NA,NA,NA,"R","WI","WI-05"
"Grothman","Glenn","-","G000576",412661,"-","R","WI","WI-06"
"Duffy","Sean","-",NA,NA,NA,"R","WI","WI-07"
"Gallagher","Mike","-","G000579",412731,"-","R","WI","WI-08"
"Cheney","Liz","-","C001109",412732,"-","R","WY","WY-AL"
"Matsui","Doris",NA,"M001163",400663,"+","D","CA","CA-06"
"Obernolte","Jay",NA,"O000019",456801,"-","R","CA","CA-08"
"Lee","Barbara",NA,"L000551",400237,"+","D","CA","CA-13"
"Eshoo","Anna",NA,"E000215",400124,"+","D","CA","CA-18"
"Valadao","David",NA,"V000129",412515,"-","R","CA","CA-21"
"Nunes","Devin",NA,"N000181",400297,"-","R","CA","CA-22"
"Garcia","Mike",NA,"G000061",456792,"-","R","CA","CA-25"
"Chu","Judy",NA,"C001080",412379,"+","D","CA","CA-27"
"Schiff","Adam",NA,"S001150",400361,"+","D","CA","CA-28"
"CÃ¡rdenas","Tony",NA,"C001097",412517,"+","D","CA","CA-29"
"Sherman","Brad",NA,"S000344",400371,"+","D","CA","CA-30"
"Kim","Young",NA,"K000397",456802,"+","R","CA","CA-39"
"Calvert","Ken",NA,"C000059",400057,"-","R","CA","CA-42"
"BarragÃ¡n","Nanette",NA,"B001300",412687,"+","D","CA","CA-44"
"Lowenthal","Alan",NA,"L000579",412521,"+","D","CA","CA-47"
"Steel","Michelle",NA,"S001135",456803,"-","R","CA","CA-48"
"Issa","Darrell",NA,"I000056",400196,"?","R","CA","CA-50"
"Peters","Scott",NA,"P000608",412523,"+","D","CA","CA-52"
"Jacobs","Sara",NA,"J000305",456804,"+","D","CA","CA-53"
"Garbarino","Andrew",NA,"G000597",456836,"+","R","NY","NY-02"
"Meeks","Gregory",NA,"M001137",400271,"+","D","NY","NY-05"
"Velazquez","Nydia",NA,"V000081",400416,"+","D","NY","NY-07"
"Jeffries","Hakeem",NA,"J000294",412561,"+","D","NY","NY-08"
"Clarke","Yvette",NA,"C001067",412221,"+","D","NY","NY-09"
"Nadler","Jerrold",NA,"N000002",400289,"+","D","NY","NY-10"
"Malliotakis","Nicole",NA,"M000317",456837,"-","R","NY","NY-11"
"Maloney","Carolyn",NA,"M000087",400251,"+","D","NY","NY-12"
"Torres","Ritchie",NA,"T000486",456838,"+","D","NY","NY-15"
"Bowman","Jamaal",NA,"B001223",456839,"+","D","NY","NY-16"
"Jones","Mondaire",NA,"J000306",456840,"+","D","NY","NY-17"
"Maloney","Sean",NA,"M001185",412562,"+","D","NY","NY-18"
"Tonko","Paul",NA,"T000469",412319,"+","D","NY","NY-20"
"Tenney","Claudia",NA,"T000478",412720,"-","R","NY","NY-22"
"Higgins","Brian",NA,"H001038",400641,"+","D","NY","NY-26"
"Jacobs","Chris",NA,"J000020",456793,"-","R","NY","NY-27"
"Cammack","Kat",NA,"C001039",456806,"-","R","FL","FL-03"
"Franklin","Scott",NA,"F000472",456807,"-","R","FL","FL-15"
"Donalds","Byron",NA,"D000032",456808,"-","R","FL","FL-19"
"Hastings","Alcee",NA,"H000324",400170,NA,"D","FL","FL-20"
"Diaz-Balart","Mario",NA,"D000600",400108,"-","R","FL","FL-25"
"GimÃ©nez","Carlos",NA,"G000593",456809,"-","R","FL","FL-26"
"Salazar","Maria",NA,"S000168",456810,"+","R","FL","FL-27"
"Carl","Jerry",NA,"C001054",456799,"-","R","AL","AL-01"
"Moore","Barry",NA,"M001212",456800,"-","R","AL","AL-02"
"Rogers","Mike",NA,"R000575",400341,"-","R","AL","AL-03"
"Aderholt","Robert",NA,"A000055",400004,"-","R","AL","AL-04"
"Kahele","KaialiÊ»i",NA,"K000396",456815,"+","D","HI","HI-02"
"Bush","Cori",NA,"B001224",456829,"+","D","MO","MO-01"
"Smith","Jason",NA,"S001195",412596,"-","R","MO","MO-08"
"Harshbarger","Diana",NA,"H001086",456844,"-","R","TN","TN-01"
"Carter","Troy",NA,"C001125",456860,"+","D","LA","LA-02"
"Richmond","Cedric",NA,"R000588",412432,NA,"D","LA","LA-02"
"Letlow","Julia",NA,"L000595",456859,"-","R","LA","LA-05"
"Scanlon","Mary",NA,"S001205",412750,"+","D","PA","PA-05"
"Cartwright","Matt",NA,"C001090",412571,"+","D","PA","PA-08"
"Thompson","Glenn",NA,"T000467",412317,"-","R","PA","PA-15"
"Meijer","Peter",NA,"M001186",456826,"+","R","MI","MI-03"
"Kildee","Daniel",NA,"K000380",412546,"+","D","MI","MI-05"
"McClain","Lisa",NA,"M001136",456827,"-","R","MI","MI-10"
"Amodei","Mark",NA,"A000369",412500,"-","R","NV","NV-02"
"Horsford","Steven",NA,"H001066",412559,"+","D","NV","NV-04"
"Norcross","Donald",NA,"N000188",412606,"n/a","D","NJ","NJ-01"
"Smith","Christopher",NA,"S000522",400380,"-","R","NJ","NJ-04"
"Pallone","Frank",NA,"P000034",400308,"+","D","NJ","NJ-06"
"Payne","Donald",NA,"P000604",412506,"+","D","NJ","NJ-10"
"Carey","Mike",NA,"C001126",456864,NA,"R","OH","OH-AL"
"Brown","Shontel",NA,"B001313",456863,NA,"D","OH","OH-AL"
"Wenstrup","Brad",NA,"W000815",412564,"-","R","OH","OH-02"
"Turner","Michael",NA,"T000463",400411,"-","R","OH","OH-10"
"Fudge","Marcia",NA,"F000455",412327,NA,"D","OH","OH-11"
"Joyce","David",NA,"J000295",412566,"-","R","OH","OH-14"
"Kuster","Ann",NA,"K000382",412557,"+","D","NH","NH-02"
"Fischbach","Michelle",NA,"F000470",456828,"-","R","MN","MN-07"
"Fitzgerald","Scott",NA,"F000471",456855,"-","R","WI","WI-05"
"Tiffany","Tom",NA,"T000165",456791,"-","R","WI","WI-07"
"Bishop","Sanford",NA,"B000490",400030,"+","D","GA","GA-02"
"Ferguson","A.",NA,"F000465",412700,"-","R","GA","GA-03"
"Williams","Nikema",NA,"W000788",456811,"+","D","GA","GA-05"
"Bourdeaux","Carolyn",NA,"B001312",456812,"+","D","GA","GA-07"
"Clyde","Andrew",NA,"C001116",456813,"-","R","GA","GA-09"
"Greene","Marjorie",NA,"G000596",456814,"-","R","GA","GA-14"
"Sarbanes","John",NA,"S001168",412212,"+","D","MD","MD-03"
"Hoyer","Steny",NA,"H000874",400189,"+","D","MD","MD-05"
"Mfume","Kweisi",NA,"M000687",407672,"+","D","MD","MD-07"
"Fallon","Pat",NA,"F000246",456845,"-","R","TX","TX-04"
"Ellzey","Jake",NA,"E000071",456862,NA,"R","TX","TX-06"
"Brady","Kevin",NA,"B000755",400046,"-","R","TX","TX-08"
"McCaul","Michael",NA,"M001157",400654,"-","R","TX","TX-10"
"Pfluger","August",NA,"P000048",456846,"-","R","TX","TX-11"
"Jackson","Ronny",NA,"J000304",456847,"-","R","TX","TX-13"
"Weber","Randy",NA,"W000814",412574,"-","R","TX","TX-14"
"Sessions","Pete",NA,"S000250",400367,"-","R","TX","TX-17"
"Nehls","Troy",NA,"N000026",456848,"-","R","TX","TX-22"
"Gonzales","Tony",NA,"G000594",456849,"-","R","TX","TX-23"
"Van Duyne","Beth",NA,"V000134",456850,"-","R","TX","TX-24"
"Burgess","Michael",NA,"B001248",400052,"-","R","TX","TX-26"
"Carter","John",NA,"C001051",400068,"-","R","TX","TX-31"
"Veasey","Marc",NA,"V000131",412579,"+","D","TX","TX-33"
"Doggett","Lloyd",NA,"D000399",400111,"+","D","TX","TX-35"
"Rosendale","Matt",NA,"R000103",456830,"-","R","MT","MT-AL"
"DeGette","Diana",NA,"D000197",400101,"+","D","CO","CO-01"
"Boebert","Lauren",NA,"B000825",456805,"-","R","CO","CO-03"
"Rush","Bobby",NA,"R000515",400350,"+","D","IL","IL-01"
"Newman","Marie",NA,"N000192",456819,"+","D","IL","IL-03"
"GarcÃ­a","JesÃºs",NA,"G000586",412774,"+","D","IL","IL-04"
"Davis","Danny",NA,"D000096",400093,"+","D","IL","IL-07"
"Miller","Mary",NA,"M001211",456820,"-","R","IL","IL-15"
"Stansbury","Melanie",NA,"S001218",456861,"+","D","NM","NM-01"
"Herrell","Yvette",NA,"H001084",456834,"-","R","NM","NM-02"
"Fernandez","Teresa",NA,"L000273",456835,"+","D","NM","NM-03"
"Moore","Blake",NA,"M001213",456851,"-","R","UT","UT-01"
"Owens","Burgess",NA,"O000086",456852,"-","R","UT","UT-04"
"Bentz","Cliff",NA,"B000668",456842,"-","R","OR","OR-02"
"DeFazio","Peter",NA,"D000191",400100,"+","D","OR","OR-04"
"Larson","John",NA,"L000557",400233,"+","D","CT","CT-01"
"DeLauro","Rosa",NA,"D000216",400103,"+","D","CT","CT-03"
"Lucas","Frank",NA,"L000491",400247,"-","R","OK","OK-03"
"Bice","Stephanie",NA,"B000740",456841,"-","R","OK","OK-05"
"Hinson","Ashley",NA,"H001091",456816,"-","R","IA","IA-01"
"Miller-Meeks","Mariannette",NA,"M001215",456817,"-","R","IA","IA-02"
"Feenstra","Randy",NA,"F000446",456818,"-","R","IA","IA-04"
"Neal","Richard",NA,"N000015",400291,"+","D","MA","MA-01"
"Auchincloss","Jake",NA,"A000148",456825,"+","D","MA","MA-04"
"Clark","Katherine",NA,"C001101",412600,"+","D","MA","MA-05"
"Lynch","Stephen",NA,"L000562",400249,"+","D","MA","MA-08"
"Mrvan","Frank",NA,"M001214",456821,"+","D","IN","IN-01"
"Spartz","Victoria",NA,"S000929",456822,"-","R","IN","IN-05"
"Ross","Deborah",NA,"R000305",456831,"+","D","NC","NC-02"
"Murphy","Greg",NA,"M001210",412845,"-","R","NC","NC-03"
"Manning","Kathy",NA,"M001135",456832,"+","D","NC","NC-06"
"Bishop","Dan",NA,"B001311",412844,"-","R","NC","NC-09"
"McHenry","Patrick",NA,"M001156",400644,"-","R","NC","NC-10"
"Cawthorn","Madison",NA,"C001104",456833,"-","R","NC","NC-11"
"Scott","Robert",NA,"S000185",400364,"+","D","VA","VA-03"
"Good","Robert",NA,"G000595",456853,"-","R","VA","VA-05"
"Connolly","Gerald",NA,"C001078",412272,"+","D","VA","VA-11"
"DelBene","Suzan",NA,"D000617",412505,"+","D","WA","WA-01"
"Strickland","Marilyn",NA,"S001159",456854,"+","D","WA","WA-10"
"Mace","Nancy",NA,"M000194",456843,"+","R","SC","SC-01"
"Clyburn","James",NA,"C000537",400075,"+","D","SC","SC-06"
"Thompson","Bennie",NA,"T000193",400402,"+","D","MS","MS-02"
"Pingree","Chellie",NA,"P000597",412307,"+","D","ME","ME-01"
"Smith","Adrian",NA,"S001172",412217,"-","R","NE","NE-03"
"Mann","Tracey",NA,"M000871",456823,"-","R","KS","KS-01"
"LaTurner","Jake",NA,"L000266",456824,"-","R","KS","KS-02"
"Welch","Peter",NA,"W000800",412239,"+","D","VT","VT-AL"
