"","LastName","FirstName","Party","District","State","Vote.114","Vote.115","Vote.116","Vote_count","Vote_change","member_id","Alias"
"1","Byrne","Bradley","R","AL-01","AL","-","-","-",3,0,"B001289",NA
"2","Roby","Martha","R","AL-02","AL","-","-","-",3,0,"R000591",NA
"3","Rogers","Mike D.","R","AL-03","AL","-","-","-",3,0,"R000575",NA
"4","Aderholt","Robert B.","R","AL-04","AL","-","-","-",3,0,"A000055",NA
"5","Brooks","Mo","R","AL-05","AL","-","-","-",3,0,"B001274",NA
"6","Palmer","Gary","R","AL-06","AL","-","-","-",3,0,"P000609",NA
"7","Sewell","Terri","D","AL-07","AL","+","+","+",3,0,"S001185",NA
"8","Young","Don","R","AK-AL","AK","-","-","-",3,0,"Y000033",NA
"9","Kirkpatrick","Ann","D","AZ-01","AZ","+",NA,NA,1,0,"K000368",NA
"10","McSally","Martha","R","AZ-02","AZ","-","-",NA,2,0,"M001197",NA
"11","Grijalva","Raul","D","AZ-03","AZ","+","+","+",3,0,"G000551",NA
"12","Gosar","Paul","R","AZ-04","AZ","-","-","-",3,0,"G000565",NA
"13","Salmon","Matt","R","AZ-05","AZ","-",NA,NA,1,0,"S000018",NA
"14","Schweikert","David","R","AZ-06","AZ","-","-","-",3,0,"S001183",NA
"15","Gallego","Ruben","D","AZ-07","AZ","+","+","+",3,0,"G000574",NA
"16","Franks","Trent","R","AZ-08","AZ","-","-",NA,2,0,"F000448",NA
"17","Sinema","Kyrsten","I","AZ-09","AZ","+","+",NA,2,0,"S001191",NA
"18","Crawford","Rick","R","AR-01","AR","-","-","-",3,0,"C001087",NA
"19","Hill","French","R","AR-02","AR","-","-","-",3,0,"H001072",NA
"20","Womack","Steve","R","AR-03","AR","-","-","-",3,0,"W000809",NA
"21","Westerman","Bruce","R","AR-04","AR","-","-","-",3,0,"W000821",NA
"22","LaMalfa","Doug","R","CA-01","CA","-","-","-",3,0,"L000578",NA
"23","Huffman","Jared","D","CA-02","CA","+","+","+",3,0,"H001068",NA
"24","Garamendi","John","D","CA-03","CA","+","+","+",3,0,"G000559",NA
"25","McClintock","Tom","R","CA-04","CA","-","-","-",3,0,"M001177",NA
"26","Thompson","Mike","D","CA-05","CA","+","+","+",3,0,"T000460",NA
"27","Matsui","Doris O.","D","CA-06","CA","+","+","+",3,0,"M001163",NA
"28","Bera","Ami","D","CA-07","CA","+","+","+",3,0,"B001287",NA
"29","Cook","Paul","R","CA-08","CA","-","-","-",3,0,"C001094",NA
"30","McNerney","Jerry","D","CA-09","CA","+","+","+",3,0,"M001166",NA
"31","Denham","Jeff","R","CA-10","CA","-","-",NA,2,0,"D000612",NA
"32","DeSaulnier","Mark","D","CA-11","CA","+","+","+",3,0,"D000623",NA
"33","Pelosi","Nancy","D","CA-12","CA","+","+",NA,2,0,"P000197",NA
"34","Lee","Barbara J.","D","CA-13","CA","+","+","+",3,0,"L000551",NA
"35","Speier","Jackie","D","CA-14","CA","+","+","+",3,0,"S001175",NA
"36","Swalwell","Eric","D","CA-15","CA","+","+",NA,2,0,"S001193",NA
"37","Costa","Jim","D","CA-16","CA","+",NA,"-",2,1,"C001059",NA
"38","Honda","Mike","D","CA-17","CA","+",NA,NA,1,0,"H001034",NA
"39","Eshoo","Anna G.","D","CA-18","CA",NA,"+","+",2,0,"E000215",NA
"40","Lofgren","Zoe","D","CA-19","CA","+","+","+",3,0,"L000397",NA
"41","Farr","Sam","D","CA-20","CA","+",NA,NA,1,0,"F000030",NA
"42","Valadao","David G.","R","CA-21","CA","-","-",NA,2,0,"V000129",NA
"43","Nunes","Devin G.","R","CA-22","CA","-","-","-",3,0,"N000181",NA
"44","McCarthy","Kevin","R","CA-23","CA","-","-","-",3,0,"M001165",NA
"45","Capps","Lois","D","CA-24","CA","+",NA,NA,1,0,"C001036",NA
"46","Knight","Steve","R","CA-25","CA","-","+",NA,2,1,"K000387",NA
"47","Brownley","Julia","D","CA-26","CA","+","+","+",3,0,"B001285",NA
"48","Chu","Judy M.","D","CA-27","CA","+","+","+",3,0,"C001080",NA
"49","Schiff","Adam B.","D","CA-28","CA","+","+","+",3,0,"S001150",NA
"50","Cárdenas","Tony","D","CA-29","CA","+","+","+",3,0,"C001097",NA
"51","Sherman","Brad J.","D","CA-30","CA","+","+","+",3,0,"S000344",NA
"52","Aguilar","Pete","D","CA-31","CA","+","+","+",3,0,"A000371",NA
"53","Napolitano","Grace","D","CA-32","CA","+","+","+",3,0,"N000179",NA
"54","Lieu","Ted","D","CA-33","CA","+","+","+",3,0,"L000582",NA
"55","Becerra","Xavier","D","CA-34","CA","+",NA,NA,1,0,"B000287",NA
"56","Torres","Norma","D","CA-35","CA","+","+","+",3,0,"T000474",NA
"57","Ruiz","Raul","D","CA-36","CA","+","+","+",3,0,"R000599",NA
"58","Bass","Karen","D","CA-37","CA","+","+","+",3,0,"B001270",NA
"59","Sanchez","Linda","D","CA-38","CA","+","+","+",3,0,"S001156",NA
"60","Royce","Ed","R","CA-39","CA","-","-",NA,2,0,"R000487",NA
"61","Roybal-Allard","Lucille","D","CA-40","CA","+","+","+",3,0,"R000486",NA
"62","Takano","Mark","D","CA-41","CA","+","+","+",3,0,"T000472",NA
"63","Calvert","Ken S.","R","CA-42","CA","-","-","-",3,0,"C000059",NA
"64","Waters","Maxine","D","CA-43","CA","+","+","+",3,0,"W000187",NA
"65","Hahn","Janice","D","CA-44","CA","+",NA,NA,1,0,"H001063",NA
"66","Walters","Mimi","R","CA-45","CA","-","-",NA,2,0,"W000820",NA
"67","Sanchez","Loretta L.","D","CA-46","CA","+",NA,NA,1,0,"S000030",NA
"68","Lowenthal","Alan S.","D","CA-47","CA","+","+","+",3,0,"L000579",NA
"69","Rohrabacher","Dana T.","R","CA-48","CA","-","-",NA,2,0,"R000409",NA
"70","Issa","Darrell","R","CA-49","CA","-","-",NA,2,0,"I000056",NA
"71","Hunter","Duncan D.","R","CA-50","CA","-","-","-",3,0,"H001048",NA
"72","Vargas","Juan","D","CA-51","CA","+","+","+",3,0,"V000130",NA
"73","Peters","Scott H.","D","CA-52","CA","+","+","+",3,0,"P000608",NA
"74","Davis","Susan A.","D","CA-53","CA","+","+","+",3,0,"D000598",NA
"75","DeGette","Diana L.","D","CO-01","CO","+","+","+",3,0,"D000197",NA
"76","Polis","Jared","D","CO-02","CO","+","+",NA,2,0,"P000598",NA
"77","Tipton","Scott","R","CO-03","CO","-","-","-",3,0,"T000470",NA
"78","Buck","Ken","R","CO-04","CO","-","-","-",3,0,"B001297",NA
"79","Lamborn","Doug","R","CO-05","CO","-","-","-",3,0,"L000564",NA
"80","Coffman","Mike","R","CO-06","CO","-","-",NA,2,0,"C001077",NA
"81","Perlmutter","Ed","D","CO-07","CO","+","+","+",3,0,"P000593",NA
"82","Larson","John B.","D","CT-01","CT","+","+","+",3,0,"L000557",NA
"83","Courtney","Joe","D","CT-02","CT","+","+","+",3,0,"C001069",NA
"84","DeLauro","Rosa L.","D","CT-03","CT","+",NA,"+",2,0,"D000216",NA
"85","Himes","Jim","D","CT-04","CT","+","+","+",3,0,"H001047",NA
"86","Esty","Elizabeth H.","D","CT-05","CT","+","+",NA,2,0,"E000293",NA
"87","Carney","John","D","DE-AL","DE","+",NA,NA,1,0,"C001083","Jr."
"88","Miller","Jeff","R","FL-01","FL","-",NA,NA,1,0,"M001144",NA
"89","Graham","Gwen","D","FL-02","FL","+",NA,NA,1,0,"G000575",NA
"90","Yoho","Ted S.","R","FL-03","FL","-","-","-",3,0,"Y000065",NA
"91","Crenshaw","Ander","R","FL-04","FL","-",NA,NA,1,0,"C001045",NA
"92","Brown","Corrine","D","FL-05","FL","+",NA,NA,1,0,"B000911",NA
"93","DeSantis","Ron","R","FL-06","FL","-","-",NA,2,0,"D000621",NA
"94","Mica","John L.","R","FL-07","FL","-",NA,NA,1,0,"M000689",NA
"95","Posey","Bill","R","FL-08","FL","-",NA,"-",2,0,"P000599",NA
"96","Grayson","Alan","D","FL-09","FL","+",NA,NA,1,0,"G000556",NA
"97","Webster","Daniel","R","FL-10","FL","-","-","-",3,0,"W000806",NA
"98","Nugent","Rich","R","FL-11","FL","-",NA,NA,1,0,"N000185",NA
"99","Bilirakis","Gus","R","FL-12","FL","-","-","-",3,0,"B001257",NA
"100","Jolly","David W.","R","FL-13","FL","+",NA,NA,1,0,"J000296",NA
"101","Castor","Kathy","D","FL-14","FL","+",NA,"+",2,0,"C001066",NA
"102","Ross","Dennis","R","FL-15","FL","-",NA,NA,1,0,"R000593",NA
"103","Buchanan","Vern","R","FL-16","FL","-","-","-",3,0,"B001260",NA
"104","Rooney","Tom","R","FL-17","FL","-","-",NA,2,0,"R000583",NA
"105","Murphy","Patrick","D","FL-18","FL","+",NA,NA,1,0,"M001191",NA
"106","Clawson","Curtis","R","FL-19","FL","-",NA,NA,1,0,"C001102",NA
"107","Hastings","Alcee L.","D","FL-20","FL",NA,"+",NA,1,0,"H000324",NA
"108","Deutch","Ted","D","FL-21","FL","+","+","+",3,0,"D000610",NA
"109","Frankel","Lois","D","FL-22","FL","+","+","+",3,0,"F000462",NA
"110","Wasserman Schultz","Debbie","D","FL-23","FL","+","+","+",3,0,"W000797",NA
"111","Wilson","Frederica","D","FL-24","FL","+","+","+",3,0,"W000808",NA
"112","Díaz-Balart","Mario","R","FL-25","FL","-",NA,"-",2,0,"D000600",NA
"113","Curbelo","Carlos","R","FL-26","FL","+",NA,NA,1,0,"C001107",NA
"114","Ros-Lehtinen","Ileana","R","FL-27","FL","+",NA,NA,1,0,"R000435",NA
"115","Carter","Buddy","R","GA-01","GA","-","-","-",3,0,"C001103",NA
"116","Bishop","Sanford D.","D","GA-02","GA","-","+","+",3,1,"B000490",NA
"117","Westmoreland","Lynn A.","R","GA-03","GA","-",NA,NA,1,0,"W000796",NA
"118","Johnson","Hank","D","GA-04","GA","+","+","+",3,0,"J000288",NA
"119","Lewis","John R.","D","GA-05","GA","+","+","+",3,0,"L000287",NA
"120","Price","Tom","R","GA-06","GA","-",NA,NA,1,0,"P000591",NA
"121","Woodall","Rob","R","GA-07","GA","-","-","-",3,0,"W000810",NA
"122","Scott","Austin","R","GA-08","GA","-","-","-",3,0,"S001189",NA
"123","Collins","Doug","R","GA-09","GA","-","-","-",3,0,"C001093",NA
"124","Hice","Jody","R","GA-10","GA","-","-","-",3,0,"H001071",NA
"125","Loudermilk","Barry","R","GA-11","GA","-",NA,"-",2,0,"L000583",NA
"126","Allen","Rick","R","GA-12","GA","-","-","-",3,0,"A000372",NA
"127","Scott","David","D","GA-13","GA","+","+","+",3,0,"S001157",NA
"128","Graves","Tom","R","GA-14","GA","-","-","-",3,0,"G000560",NA
"129","Takai","Mark","D","HI-01","HI",NA,NA,NA,0,0,"T000473",NA
"130","Gabbard","Tulsi","D","HI-02","HI","+","+","+",3,0,"G000571",NA
"131","Labrador","Raul","R","ID-01","ID","-","-",NA,2,0,"L000573",NA
"132","Simpson","Mike","R","ID-02","ID","-","-","-",3,0,"S001148",NA
"133","Rush","Bobby L.","D","IL-01","IL","+","+","+",3,0,"R000515",NA
"134","Kelly","Robin","D","IL-02","IL","+","+","+",3,0,"K000385",NA
"135","Lipinski","Dan","D","IL-03","IL","+","+","+",3,0,"L000563",NA
"136","Gutierrez","Luis V.","D","IL-04","IL","+","+",NA,2,0,"G000535",NA
"137","Quigley","Mike","D","IL-05","IL","+","+","+",3,0,"Q000023",NA
"138","Roskam","Peter J.","R","IL-06","IL","-","-",NA,2,0,"R000580",NA
"139","Davis","Danny K.","D","IL-07","IL","+","+","+",3,0,"D000096",NA
"140","Duckworth","Tammy","D","IL-08","IL","+",NA,NA,1,0,"D000622",NA
"141","Schakowsky","Jan","D","IL-09","IL","+","+","+",3,0,"S001145",NA
"142","Dold","Robert","R","IL-10","IL","+",NA,NA,1,0,"D000613",NA
"143","Foster","Bill","D","IL-11","IL","+","+","+",3,0,"F000454",NA
"144","Bost","Mike","R","IL-12","IL","-","-","-",3,0,"B001295",NA
"145","Davis","Rodney","R","IL-13","IL","-","-","-",3,0,"D000619",NA
"146","Hultgren","Randy","R","IL-14","IL","-","-",NA,2,0,"H001059",NA
"147","Shimkus","John M.","R","IL-15","IL","-","-","-",3,0,"S000364",NA
"148","Kinzinger","Adam","R","IL-16","IL","-","-","-",3,0,"K000378",NA
"149","Bustos","Cheri","D","IL-17","IL","+","+","+",3,0,"B001286",NA
"150","LaHood","Darin","R","IL-18","IL","-","-","-",3,0,"L000585",NA
"151","Visclosky","Peter J.","D","IN-01","IN","+","+","+",3,0,"V000108",NA
"152","Walorski","Jackie","R","IN-02","IN","-","-","-",3,0,"W000813",NA
"153","Stutzman","Marlin","R","IN-03","IN","-",NA,NA,1,0,"S001188",NA
"154","Rokita","Todd","R","IN-04","IN","-","-",NA,2,0,"R000592",NA
"155","Brooks","Susan W.","R","IN-05","IN","-","-","-",3,0,"B001284",NA
"156","Messer","Luke","R","IN-06","IN","-","-",NA,2,0,"M001189",NA
"157","Carson","Andre","D","IN-07","IN","+","+","+",3,0,"C001072",NA
"158","Bucshon","Larry","R","IN-08","IN","-","-","-",3,0,"B001275",NA
"159","Young","Todd","R","IN-09","IN","-",NA,NA,1,0,"Y000064",NA
"160","Blum","Rod","R","IA-01","IA","-","-",NA,2,0,"B001294",NA
"161","Loebsack","Dave W.","D","IA-02","IA","+","+","+",3,0,"L000565",NA
"162","Young","David","R","IA-03","IA","-","-",NA,2,0,"Y000066",NA
"163","King","Steve A.","R","IA-04","IA","-","-","-",3,0,"K000362",NA
"164","Huelskamp","Tim","R","KS-01","KS","-",NA,NA,1,0,"H001057",NA
"165","Jenkins","Lynn M.","R","KS-02","KS","-","-",NA,2,0,"J000290",NA
"166","Yoder","Kevin","R","KS-03","KS","-","-",NA,2,0,"Y000063",NA
"167","Pompeo","Mike","R","KS-04","KS","-",NA,NA,1,0,"P000602",NA
"168","Whitfield","Ed","R","KY-01","KY","-",NA,NA,1,0,"W000413",NA
"169","Guthrie","Brett","R","KY-02","KY","-","-","-",3,0,"G000558",NA
"170","Yarmuth","John","D","KY-03","KY","+","+","+",3,0,"Y000062",NA
"171","Massie","Thomas","R","KY-04","KY","-","-","-",3,0,"M001184",NA
"172","Rogers","Harold","R","KY-05","KY","-","-","-",3,0,"R000395",NA
"173","Barr","Garland","R","KY-06","KY","-","-","-",3,0,"B001282",NA
"174","Scalise","Steve","R","LA-01","LA","-",NA,"-",2,0,"S001176",NA
"175","Richmond","Cedric L","D","LA-02","LA","+","+","+",3,0,"R000588",NA
"176","Boustany","Charles","R","LA-03","LA","-",NA,NA,1,0,"B001255","Jr."
"177","Fleming","John","R","LA-04","LA","-",NA,NA,1,0,"F000456",NA
"178","Abraham","Ralph","R","LA-05","LA","-","-","-",3,0,"A000374",NA
"179","Graves","Garret","R","LA-06","LA","-","-","-",3,0,"G000577",NA
"180","Pingree","Chellie M.","D","ME-01","ME","+","+","+",3,0,"P000597",NA
"181","Poliquin","Bruce","R","ME-02","ME","-","-",NA,2,0,"P000611",NA
"182","Harris","Andy","R","MD-01","MD","-","-","-",3,0,"H001052",NA
"183","Ruppersberger","C.A. Dutch","D","MD-02","MD","+","+","+",3,0,"R000576",NA
"184","Sarbanes","John P.","D","MD-03","MD","+","+","+",3,0,"S001168",NA
"185","Edwards","Donna","D","MD-04","MD","+",NA,NA,1,0,"E000290",NA
"186","Hoyer","Steny H.","D","MD-05","MD","+","+","+",3,0,"H000874",NA
"187","Delaney","John K.","D","MD-06","MD","+","+",NA,2,0,"D000620",NA
"188","Cummings","Elijah E.","D","MD-07","MD","+","+","+",3,0,"C000984",NA
"189","Van Hollen","Chris","D","MD-08","MD","+",NA,NA,1,0,"V000128",NA
"190","Neal","Richard E.","D","MA-01","MA","+","+","+",3,0,"N000015",NA
"191","McGovern","Jim","D","MA-02","MA","+","+","+",3,0,"M000312",NA
"192","Tsongas","Niki","D","MA-03","MA","+","+",NA,2,0,"T000465",NA
"193","Kennedy","Joseph P.","D","MA-04","MA","+","+","+",3,0,"K000379","III"
"194","Clark","Katherine M.","D","MA-05","MA","+","+","+",3,0,"C001101",NA
"195","Moulton","Seth","D","MA-06","MA","+","+","+",3,0,"M001196",NA
"196","Capuano","Michael E.","D","MA-07","MA","+","+",NA,2,0,"C001037",NA
"197","Lynch","Stephen F.","D","MA-08","MA","+","+","+",3,0,"L000562",NA
"198","Keating","Bill","D","MA-09","MA","+","+","+",3,0,"K000375",NA
"199","Benishek","Dan","R","MI-01","MI","-",NA,NA,1,0,"B001271",NA
"200","Huizenga","Bill","R","MI-02","MI","-","-","-",3,0,"H001058",NA
"201","Amash","Justin","R","MI-03","MI","-","-","-",3,0,"A000367",NA
"202","Moolenaar","John","R","MI-04","MI","-","-","-",3,0,"M001194",NA
"203","Kildee","Daniel T.","D","MI-05","MI","+","+","+",3,0,"K000380",NA
"204","Upton","Fred","R","MI-06","MI","-","-","+",3,1,"U000031",NA
"205","Walberg","Tim","R","MI-07","MI","-","-","-",3,0,"W000798",NA
"206","Bishop","Mike","R","MI-08","MI","-","-",NA,2,0,"B001293",NA
"207","Levin","Sander M.","D","MI-09","MI","+","+",NA,2,0,"L000263",NA
"208","Miller","Candice S.","R","MI-10","MI","-",NA,NA,1,0,"M001150",NA
"209","Trott","Dave","R","MI-11","MI","-","-",NA,2,0,"T000475",NA
"210","Dingell","Debbie","D","MI-12","MI","+","+","+",3,0,"D000624",NA
"211","Conyers","John","D","MI-13","MI","+","+",NA,2,0,"C000714","Jr."
"212","Lawrence","Brenda","D","MI-14","MI","+","+","+",3,0,"L000581",NA
"213","Walz","Tim","D","MN-01","MN","+","+",NA,2,0,"W000799",NA
"214","Kline","John P.","R","MN-02","MN","-",NA,NA,1,0,"K000363",NA
"215","Paulsen","Erik","R","MN-03","MN","-","-",NA,2,0,"P000594",NA
"216","McCollum","Betty","D","MN-04","MN","+","+","+",3,0,"M001143",NA
"217","Ellison","Keith M.","D","MN-05","MN","+","+",NA,2,0,"E000288",NA
"218","Emmer","Tom","R","MN-06","MN","-","-",NA,2,0,"E000294",NA
"219","Peterson","Collin C.","D","MN-07","MN","-","-","+",3,1,"P000258",NA
"220","Nolan","Rick","D","MN-08","MN","+","+",NA,2,0,"N000127",NA
"221","Kelly","Trent","R","MS-01","MS","-","-","-",3,0,"K000388",NA
"222","Thompson","Bennie G.","D","MS-02","MS","+","+","+",3,0,"T000193",NA
"223","Harper","Gregg","R","MS-03","MS","-","-",NA,2,0,"H001045",NA
"224","Palazzo","Steven","R","MS-04","MS","-","-","-",3,0,"P000601",NA
"225","Clay","William Lacy","D","MO-01","MO","+","+","+",3,0,"C001049",NA
"226","Wagner","Ann","R","MO-02","MO","-","-","-",3,0,"W000812",NA
"227","Luetkemeyer","Blaine","R","MO-03","MO","-","-","-",3,0,"L000569",NA
"228","Hartzler","Vicky","R","MO-04","MO","-","-","-",3,0,"H001053",NA
"229","Cleaver","Emanuel","D","MO-05","MO","+","+","+",3,0,"C001061",NA
"230","Graves","Sam","R","MO-06","MO","-",NA,"-",2,0,"G000546",NA
"231","Long","Billy","R","MO-07","MO","-","-","-",3,0,"L000576",NA
"232","Smith","Jason T.","R","MO-08","MO","-","-","-",3,0,"S001195",NA
"233","Zinke","Ryan","R","MT-AL","MT","-",NA,NA,1,0,"Z000018",NA
"234","Fortenberry","Jeff","R","NE-01","NE","-","-","-",3,0,"F000449",NA
"235","Ashford","Brad","D","NE-02","NE","-",NA,NA,1,0,"A000373",NA
"236","Smith","Adrian M.","R","NE-03","NE","-","-","-",3,0,"S001172",NA
"237","Titus","Dina","D","NV-01","NV","+","+","+",3,0,"T000468",NA
"238","Amodei","Mark E.","R","NV-02","NV","-","-","-",3,0,"A000369",NA
"239","Heck","Joe","R","NV-03","NV","-",NA,NA,1,0,"H001055",NA
"240","Hardy","Cresent","R","NV-04","NV","-",NA,NA,1,0,"H001070",NA
"241","Guinta","Frank","R","NH-01","NH","-",NA,NA,1,0,"G000570",NA
"242","Kuster","Ann M.","D","NH-02","NH","+","+","+",3,0,"K000382",NA
"243","Norcross","Donald W.","D","NJ-01","NJ","+","+","+",3,0,"N000188",NA
"244","LoBiondo","Frank A.","R","NJ-02","NJ","-","-",NA,2,0,"L000554",NA
"245","MacArthur","Tom","R","NJ-03","NJ","-","-",NA,2,0,"M001193",NA
"246","Smith","Christopher H.","R","NJ-04","NJ","-","+","+",3,1,"S000522",NA
"247","Garrett","E. Scott","R","NJ-05","NJ","-",NA,NA,1,0,"G000548",NA
"248","Pallone","Frank J.","D","NJ-06","NJ","+","+","+",3,0,"P000034",NA
"249","Lance","Leonard","R","NJ-07","NJ","-","-",NA,2,0,"L000567",NA
"250","Sires","Albio","D","NJ-08","NJ","+","+","+",3,0,"S001165",NA
"251","Pascrell","Bill","D","NJ-09","NJ","+","+","+",3,0,"P000096",NA
"252","Payne","Donald M.","D","NJ-10","NJ","+","+","+",3,0,"P000604",NA
"253","Frelinghuysen","Rodney P.","R","NJ-11","NJ","-","-",NA,2,0,"F000372",NA
"254","Watson Coleman","Bonnie","D","NJ-12","NJ","+",NA,"+",2,0,"W000822",NA
"255","Lujan Grisham","Michelle","D","NM-01","NM","+","+",NA,2,0,"L000580",NA
"256","Pearce","Steve","R","NM-02","NM",NA,"-",NA,1,0,"P000588",NA
"257","Luján","Ben Ray","D","NM-03","NM","+","+","+",3,0,"L000570",NA
"258","Zeldin","Lee","R","NY-01","NY","-","-","-",3,0,"Z000017",NA
"259","King","Peter T.","R","NY-02","NY","-","-","-",3,0,"K000210",NA
"260","Israel","Steve J.","D","NY-03","NY","+",NA,NA,1,0,"I000057",NA
"261","Rice","Kathleen","D","NY-04","NY","+","+","+",3,0,"R000602",NA
"262","Meeks","Gregory W.","D","NY-05","NY","+","+","+",3,0,"M001137",NA
"263","Meng","Grace","D","NY-06","NY","+","+","+",3,0,"M001188",NA
"264","Velázquez ","Nydia","D","NY-07","NY","+","+","+",3,0,"V000081",NA
"265","Jeffries","Hakeem S.","D","NY-08","NY","+","+","+",3,0,"J000294",NA
"266","Clarke","Yvette D.","D","NY-09","NY","+","+","+",3,0,"C001067",NA
"267","Nadler","Jerrold L.","D","NY-10","NY","+","+","+",3,0,"N000002",NA
"268","Donovan","Daniel M.","R","NY-11","NY","-","-",NA,2,0,"D000625","Jr."
"269","Maloney","Carolyn B.","D","NY-12","NY","+","+","+",3,0,"M000087",NA
"270","Rangel","Charles","D","NY-13","NY","+",NA,NA,1,0,"R000053",NA
"271","Crowley","Joseph","D","NY-14","NY","+","+",NA,2,0,"C001038",NA
"272","Serrano","Jose","D","NY-15","NY","+","+","+",3,0,"S000248",NA
"273","Engel","Eliot L.","D","NY-16","NY","+","+","+",3,0,"E000179",NA
"274","Lowey","Nita M.","D","NY-17","NY","+","+","+",3,0,"L000480",NA
"275","Maloney","Sean Patrick","D","NY-18","NY","+","+","+",3,0,"M001185",NA
"276","Gibson","Chris","R","NY-19","NY","+",NA,NA,1,0,"G000564",NA
"277","Tonko","Paul D.","D","NY-20","NY","+","+","+",3,0,"T000469",NA
"278","Stefanik","Elise","R","NY-21","NY","+","+","+",3,0,"S001196",NA
"279","Hanna","Richard","R","NY-22","NY","+",NA,NA,1,0,"H001051",NA
"280","Reed","Tom","R","NY-23","NY","-","-","-",3,0,"R000585",NA
"281","Katko","John","R","NY-24","NY","+","+","+",3,0,"K000386",NA
"282","Slaughter","Louise","D","NY-25","NY","+","+",NA,2,0,"S000480",NA
"283","Higgins","Brian M.","D","NY-26","NY","+","+","+",3,0,"H001038",NA
"284","Collins","Chris","R","NY-27","NY","-","-","-",3,0,"C001092",NA
"285","Butterfield","G.K.","D","NC-01","NC","+","+","+",3,0,"B001251",NA
"286","Ellmers","Renee","R","NC-02","NC","-",NA,NA,1,0,"E000291",NA
"287","Jones","Jr.","D","NC-03","NC","-","-",NA,2,0,"J000256",NA
"288","Price","David","D","NC-04","NC","+","+","+",3,0,"P000523",NA
"289","Foxx","Virginia","R","NC-05","NC","-","-","-",3,0,"F000450",NA
"290","Walker","Bradley Mark","R","NC-06","NC","-","-","-",3,0,"W000819",NA
"291","Rouzer","David","R","NC-07","NC","-","-","-",3,0,"R000603",NA
"292","Hudson","Richard","R","NC-08","NC","-","-","-",3,0,"H001067",NA
"293","Pittenger","Robert","R","NC-09","NC","-","-",NA,2,0,"P000606",NA
"294","McHenry","Patrick T.","R","NC-10","NC","-","-","-",3,0,"M001156",NA
"295","Meadows","Mark","R","NC-11","NC","-","-","-",3,0,"M001187",NA
"296","Adams","Alma","D","NC-12","NC","+","+","+",3,0,"A000370",NA
