"Representative","Party","District","Vote"
"Roby, Martha","R","AL-02","-"
"Rogers, Mike D.","R","AL-03","-"
"Aderholt, Robert B.","R","AL-04","-"
"Brooks, Mo","R","AL-05","-"
"Bachus, Spencer","R","AL-06","-"
"Sewell, Terri","D","AL-07","+"
"Young, Don","R","AK-AL","-"
"Kirkpatrick, Ann","D","AZ-01","+"
"Barber, Ron","D","AZ-02","+"
"Grijalva, Raul","D","AZ-03","+"
"Gosar, Paul","R","AZ-04","-"
"Salmon, Matt","R","AZ-05","-"
"Schweikert, David","R","AZ-06","-"
"Pastor, Ed","D","AZ-07","+"
"Franks, Trent","R","AZ-08","-"
"Sinema, Kyrsten","I","AZ-09","+"
"Crawford, Rick","R","AR-01","-"
"Griffin, Tim","R","AR-02","-"
"Womack, Steve","R","AR-03","-"
"Cotton, Tom","R","AR-04","-"
"LaMalfa, Doug","R","CA-01","-"
"Huffman, Jared","D","CA-02","+"
"Garamendi, John","D","CA-03","+"
"McClintock, Tom","R","CA-04","-"
"Thompson, Mike","D","CA-05","+"
"Matsui, Doris O.","D","CA-06","+"
"Bera, Ami","D","CA-07","+"
"Cook, Paul","R","CA-08","-"
"McNerney, Jerry","D","CA-09","+"
"Denham, Jeff","R","CA-10","-"
"Miller, George","D","CA-11","+"
"Pelosi, Nancy","D","CA-12","+"
"Lee, Barbara J.","D","CA-13","+"
"Speier, Jackie","D","CA-14","+"
"Swalwell, Eric","D","CA-15","+"
"Costa, Jim","D","CA-16","-"
"Honda, Mike","D","CA-17","+"
"Eshoo, Anna G.","D","CA-18","+"
"Lofgren, Zoe","D","CA-19","+"
"Farr, Sam","D","CA-20","+"
"Valadao, David G.","R","CA-21","-"
"Nunes, Devin G.","R","CA-22","-"
"McCarthy, Kevin","R","CA-23","-"
"Capps, Lois","D","CA-24","+"
"McKeon, Buck P.","R","CA-25","-"
"Brownley, Julia","D","CA-26","+"
"Chu, Judy M.","D","CA-27","+"
"Schiff, Adam B.","D","CA-28","+"
"Cárdenas, Tony","D","CA-29","+"
"Sherman, Brad J.","D","CA-30","+"
"Miller, Gary G.","R","CA-31","-"
"Napolitano, Grace","D","CA-32","+"
"Waxman, Henry A.","D","CA-33","+"
"Becerra, Xavier","D","CA-34","+"
"Negrete McLeod, Gloria","D","CA-35","+"
"Ruiz, Raul","D","CA-36","+"
"Bass, Karen","D","CA-37","+"
"Sanchez, Linda","D","CA-38","+"
"Royce, Ed","R","CA-39","-"
"Roybal-Allard, Lucille","D","CA-40","+"
"Takano, Mark","D","CA-41","+"
"Calvert, Ken S.","R","CA-42","-"
"Waters, Maxine","D","CA-43","+"
"Hahn, Janice","D","CA-44","+"
"Campbell, John","R","CA-45","?"
"Sanchez, Loretta L.","D","CA-46","+"
"Lowenthal, Alan S.","D","CA-47","+"
"Rohrabacher, Dana T.","R","CA-48","-"
"Issa, Darrell","R","CA-49","-"
"Hunter, Duncan D.","R","CA-50","-"
"Vargas, Juan","D","CA-51","+"
"Peters, Scott H.","D","CA-52","+"
"Davis, Susan A.","D","CA-53","+"
"DeGette, Diana L.","D","CO-01","+"
"Polis, Jared","D","CO-02","+"
"Tipton, Scott","R","CO-03","-"
"Gardner, Cory","R","CO-04","-"
"Lamborn, Doug","R","CO-05","-"
"Coffman, Mike","R","CO-06","-"
"Perlmutter, Ed","D","CO-07","+"
"Larson, John B.","D","CT-01","+"
"Courtney, Joe","D","CT-02","+"
"DeLauro, Rosa L.","D","CT-03","+"
"Himes, Jim","D","CT-04","+"
"Esty, Elizabeth H.","D","CT-05","+"
"Carney, John","D","DE-AL","+"
"Miller, Jeff","R","FL-01","-"
"Southerland, Steve","R","FL-02","-"
"Yoho, Ted S.","R","FL-03","-"
"Crenshaw, Ander","R","FL-04","-"
"Brown, Corrine","D","FL-05","+"
"DeSantis, Ron","R","FL-06","-"
"Mica, John L.","R","FL-07","-"
"Posey, Bill","R","FL-08","-"
"Grayson, Alan","D","FL-09","+"
"Webster, Daniel","R","FL-10","-"
"Nugent, Rich","R","FL-11","-"
"Bilirakis, Gus","R","FL-12","-"
"Castor, Kathy","D","FL-14","+"
"Ross, Dennis","R","FL-15","-"
"Buchanan, Vern","R","FL-16","-"
"Rooney, Tom","R","FL-17","-"
"Murphy, Patrick","D","FL-18","+"
"Radel, Trey","R","FL-19","?"
"Hastings, Alcee L.","D","FL-20","+"
"Deutch, Ted","D","FL-21","+"
"Frankel, Lois","D","FL-22","+"
"Wasserman Schultz, Debbie","D","FL-23","?"
"Wilson, Frederica","D","FL-24","+"
"Díaz-Balart, Mario","R","FL-25","-"
"Garcia, Joe","D","FL-26","+"
"Ros-Lehtinen, Ileana","R","FL-27","-"
"Kingston, Jack","R","GA-01","-"
"Bishop, Sanford D.","D","GA-02","+"
"Westmoreland, Lynn A.","R","GA-03","-"
"Johnson, Hank","D","GA-04","+"
"Lewis, John R.","D","GA-05","+"
"Price, Tom","R","GA-06","-"
"Woodall, Rob","R","GA-07","-"
"Scott, Austin","R","GA-08","-"
"Collins, Doug","R","GA-09","-"
"Broun, Paul C.","R","GA-10","-"
"Gingrey, Phil","R","GA-11","-"
"Barrow, John","D","GA-12","-"
"Scott, David","D","GA-13","+"
"Graves, Tom","R","GA-14","-"
"Hanabusa, Colleen","D","HI-01","+"
"Gabbard, Tulsi","D","HI-02","+"
"Labrador, Raul","R","ID-01","-"
"Simpson, Mike","R","ID-02","-"
"Rush, Bobby L.","D","IL-01","?"
"Kelly, Robin","D","IL-02","+"
"Lipinski, Dan","D","IL-03","+"
"Gutierrez, Luis V.","D","IL-04","+"
"Quigley, Mike","D","IL-05","+"
"Roskam, Peter J.","R","IL-06","-"
"Davis, Danny K.","D","IL-07","+"
"Duckworth, Tammy","D","IL-08","+"
"Schakowsky, Jan","D","IL-09","+"
"Schneider, Brad","D","IL-10","+"
"Foster, Bill","D","IL-11","+"
"Enyart, Bill","D","IL-12","+"
"Davis, Rodney","R","IL-13","-"
"Hultgren, Randy","R","IL-14","-"
"Shimkus, John M.","R","IL-15","-"
"Kinzinger, Adam","R","IL-16","-"
"Bustos, Cheri","D","IL-17","+"
"Schock, Aaron","R","IL-18","-"
"Visclosky, Peter J.","D","IN-01","+"
"Walorski, Jackie","R","IN-02","-"
"Stutzman, Marlin","R","IN-03","-"
"Rokita, Todd","R","IN-04","-"
"Brooks, Susan W.","R","IN-05","-"
"Messer, Luke","R","IN-06","-"
"Carson, Andre","D","IN-07","+"
"Bucshon, Larry","R","IN-08","-"
"Young, Todd","R","IN-09","-"
"Braley, Bruce","D","IA-01","+"
"Loebsack, Dave W.","D","IA-02","+"
"Latham, Tom","R","IA-03","-"
"King, Steve A.","R","IA-04","-"
"Huelskamp, Tim","R","KS-01","-"
"Jenkins, Lynn M.","R","KS-02","-"
"Yoder, Kevin","R","KS-03","-"
"Pompeo, Mike","R","KS-04","-"
"Whitfield, Ed","R","KY-01","-"
"Guthrie, Brett","R","KY-02","-"
"Yarmuth, John","D","KY-03","+"
"Massie, Thomas","R","KY-04","-"
"Rogers, Harold","R","KY-05","-"
"Barr, Garland","R","KY-06","-"
"Scalise, Steve","R","LA-01","-"
"Richmond, Cedric L","D","LA-02","+"
"Boustany, Charles","R","LA-03","-"
"Fleming, John","R","LA-04","-"
"Cassidy, Bill","R","LA-06","-"
"Pingree, Chellie M.","D","ME-01","+"
"Michaud, Michael H.","D","ME-02","+"
"Harris, Andy","R","MD-01","-"
"Ruppersberger, C.A. Dutch","D","MD-02","+"
"Sarbanes, John P.","D","MD-03","+"
"Edwards, Donna","D","MD-04","+"
"Hoyer, Steny H.","D","MD-05","+"
"Delaney, John K.","D","MD-06","+"
"Cummings, Elijah E.","D","MD-07","+"
"Van Hollen, Chris","D","MD-08","+"
"Neal, Richard E.","D","MA-01","+"
"McGovern, Jim","D","MA-02","+"
"Tsongas, Niki","D","MA-03","+"
"Kennedy, Joseph P.","D","MA-04","+"
"Tierney, John F.","D","MA-06","+"
"Capuano, Michael E.","D","MA-07","+"
"Lynch, Stephen F.","D","MA-08","+"
"Keating, Bill","D","MA-09","+"
"Benishek, Dan","R","MI-01","-"
"Huizenga, Bill","R","MI-02","-"
"Amash, Justin","R","MI-03","-"
"Camp, Dave","R","MI-04","-"
"Kildee, Daniel T.","D","MI-05","+"
"Upton, Fred","R","MI-06","-"
"Walberg, Tim","R","MI-07","-"
"Rogers, Mike J.","R","MI-08","-"
"Levin, Sander M.","D","MI-09","+"
"Miller, Candice S.","R","MI-10","-"
"Bentivolio, Kerry L.","R","MI-11","-"
"Dingell, John D.","D","MI-12","+"
"Conyers, John","D","MI-13","+"
"Peters, Gary C.","D","MI-14","+"
"Walz, Tim","D","MN-01","+"
"Kline, John P.","R","MN-02","-"
"Paulsen, Erik","R","MN-03","-"
"McCollum, Betty","D","MN-04","+"
"Ellison, Keith M.","D","MN-05","+"
"Bachmann, Michele","R","MN-06","-"
"Peterson, Collin C.","D","MN-07","-"
"Nolan, Rick","D","MN-08","+"
"Nunnelee, Alan","R","MS-01","-"
"Thompson, Bennie G.","D","MS-02","+"
"Harper, Gregg","R","MS-03","-"
"Palazzo, Steven","R","MS-04","-"
"Clay, William Lacy","D","MO-01","+"
"Wagner, Ann","R","MO-02","-"
"Luetkemeyer, Blaine","R","MO-03","-"
"Hartzler, Vicky","R","MO-04","-"
"Cleaver, Emanuel","D","MO-05","+"
"Graves, Sam","R","MO-06","-"
"Long, Billy","R","MO-07","-"
"Smith, Jason T.","R","MO-08","-"
"Daines, Steve","R","MT-AL","-"
"Fortenberry, Jeff","R","NE-01","-"
"Terry, Lee R.","R","NE-02","-"
"Smith, Adrian M.","R","NE-03","-"
"Titus, Dina","D","NV-01","+"
"Amodei, Mark E.","R","NV-02","-"
"Heck, Joe","R","NV-03","-"
"Horsford, Steven A.","D","NV-04","+"
"Shea-Porter, Carol","D","NH-01","+"
"Kuster, Ann M.","D","NH-02","+"
"Andrews, Robert E.","D","NJ-01","+"
"LoBiondo, Frank A.","R","NJ-02","-"
"Runyan, Jon","R","NJ-03","-"
"Smith, Christopher H.","R","NJ-04","-"
"Garrett, E. Scott","R","NJ-05","-"
"Pallone, Frank J.","D","NJ-06","+"
"Lance, Leonard","R","NJ-07","-"
"Sires, Albio","D","NJ-08","+"
"Pascrell, Bill","D","NJ-09","+"
"Payne, Donald M.","D","NJ-10","+"
"Frelinghuysen, Rodney P.","R","NJ-11","-"
"Holt, Rush D.","D","NJ-12","+"
"Lujan Grisham, Michelle","D","NM-01","+"
"Pearce, Steve","R","NM-02","-"
"Luján, Ben Ray","D","NM-03","+"
"Bishop, Timothy H.","D","NY-01","+"
"King, Peter T.","R","NY-02","-"
"Israel, Steve J.","D","NY-03","+"
"McCarthy, Carolyn","D","NY-04","?"
"Meeks, Gregory W.","D","NY-05","+"
"Meng, Grace","D","NY-06","+"
"Velázquez , Nydia","D","NY-07","+"
"Jeffries, Hakeem S.","D","NY-08","+"
"Clarke, Yvette D.","D","NY-09","+"
"Nadler, Jerrold L.","D","NY-10","+"
"Grimm, Michael","R","NY-11","-"
"Maloney, Carolyn B.","D","NY-12","+"
"Rangel, Charles","D","NY-13","+"
"Crowley, Joseph","D","NY-14","+"
"Serrano, Jose","D","NY-15","+"
"Engel, Eliot L.","D","NY-16","+"
"Lowey, Nita M.","D","NY-17","+"
"Maloney, Sean Patrick","D","NY-18","+"
"Gibson, Chris","R","NY-19","+"
"Tonko, Paul D.","D","NY-20","+"
"Owens, Bill","D","NY-21","+"
"Hanna, Richard","R","NY-22","-"
"Reed, Tom","R","NY-23","-"
"Maffei, Dan","D","NY-24","+"
"Slaughter, Louise","D","NY-25","+"
"Higgins, Brian M.","D","NY-26","+"
"Collins, Chris","R","NY-27","-"
"Butterfield, G.K.","D","NC-01","+"
"Ellmers, Renee","R","NC-02","-"
"Jones, Jr., Walter","R","NC-03","-"
"Price, David","D","NC-04","+"
"Foxx, Virginia","R","NC-05","-"
"Coble, Howard","R","NC-06","-"
"McIntyre, Mike","D","NC-07","+"
"Hudson, Richard","R","NC-08","-"
"Pittenger, Robert","R","NC-09","-"
"McHenry, Patrick T.","R","NC-10","-"
"Meadows, Mark","R","NC-11","-"
"Watt, Mel","D","NC-12","+"
"Holding, George","R","NC-13","-"
"Cramer, Kevin","R","ND-AL","-"
"Chabot, Steve","R","OH-01","-"
"Wenstrup, Brad R.","R","OH-02","-"
"Beatty, Joyce","D","OH-03","+"
"Jordan, Jim","R","OH-04","-"
"Latta, Bob","R","OH-05","-"
"Johnson, Bill","R","OH-06","-"
"Gibbs, Bob","R","OH-07","-"
"Boehner, John","R","OH-08","n/a"
"Kaptur, Marcy","D","OH-09","+"
"Turner, Michael R.","R","OH-10","-"
"Fudge, Marcia L.","D","OH-11","+"
"Tiberi, Pat","R","OH-12","-"
"Ryan, Tim","D","OH-13","+"
"Joyce, David P.","R","OH-14","-"
"Stivers, Steve","R","OH-15","-"
"Renacci, Jim","R","OH-16","-"
"Bridenstine, Jim","R","OK-01","-"
"Mullin, Markwayne","R","OK-02","-"
"Lucas, Frank D.","R","OK-03","-"
"Cole, Tom","R","OK-04","-"
"Lankford, James","R","OK-05","-"
"Bonamici, Suzanne","D","OR-01","+"
"Walden, Greg P.","R","OR-02","-"
"Blumenauer, Earl","D","OR-03","+"
"DeFazio, Peter A.","D","OR-04","+"
"Schrader, Kurt","D","OR-05","+"
"Brady, Robert A.","D","PA-01","+"
"Fattah, Chaka","D","PA-02","+"
"Kelly, Mike","R","PA-03","-"
"Perry, Scott","R","PA-04","-"
"Thompson, Glenn W.","R","PA-05","-"
"Gerlach, Jim","R","PA-06","-"
"Meehan, Patrick","R","PA-07","-"
"Fitzpatrick, Michael","R","PA-08","-"
"Shuster, Bill","R","PA-09","?"
"Marino, Tom","R","PA-10","-"
"Barletta, Lou","R","PA-11","-"
"Rothfus, Keith J.","R","PA-12","-"
"Schwartz, Allyson Y.","D","PA-13","+"
"Doyle, Mike","D","PA-14","+"
"Dent, Charlie","R","PA-15","-"
"Pitts, Joe","R","PA-16","-"
"Cartwright, Matt A.","D","PA-17","+"
"Murphy, Tim","R","PA-18","-"
"Cicilline, David","D","RI-01","+"
"Langevin, Jim","D","RI-02","+"
"Sanford, Mark","R","SC-01","-"
"Wilson, Joe","R","SC-02","-"
"Duncan, Jeff","R","SC-03","-"
"Gowdy, Trey","R","SC-04","-"
"Mulvaney, Mick","R","SC-05","-"
"Clyburn, James E.","D","SC-06","+"
"Rice, Tom","R","SC-07","-"
"Noem, Kristi","R","SD-AL","?"
"Roe, Phil","R","TN-01","-"
"Duncan, Jr., John J.","R","TN-02","-"
"Fleischmann, Chuck","R","TN-03","-"
"DesJarlais, Scott","R","TN-04","-"
"Cooper, Jim","D","TN-05","+"
"Black, Diane","R","TN-06","-"
"Blackburn, Marsha","R","TN-07","-"
"Fincher, Stephen","R","TN-08","-"
"Cohen, Steve","D","TN-09","+"
"Gohmert, Louie","R","TX-01","-"
"Poe, Ted","R","TX-02","-"
"Johnson, Sam","R","TX-03","-"
"Hall, Ralph","R","TX-04","-"
"Hensarling, Jeb","R","TX-05","-"
"Barton, Joe","R","TX-06","-"
"Culberson, John A.","R","TX-07","-"
"Brady, Kevin P.","R","TX-08","-"
"Green, Al","D","TX-09","+"
"McCaul, Michael T.","R","TX-10","-"
"Conaway, K. Michael","R","TX-11","-"
"Granger, Kay","R","TX-12","-"
"Thornberry, Mac","R","TX-13","-"
"Weber, Randy K.","R","TX-14","-"
"Hinojosa, Ruben","D","TX-15","+"
"O'Rourke, Beto","D","TX-16","+"
"Flores, Bill","R","TX-17","-"
"Jackson Lee, Sheila","D","TX-18","+"
"Neugebauer, Randy","R","TX-19","-"
"Castro, Joaquin","D","TX-20","+"
"Smith, Lamar S.","R","TX-21","-"
"Olson, Pete","R","TX-22","-"
"Gallego, Pete P.","D","TX-23","-"
"Marchant, Kenny E.","R","TX-24","-"
"Williams, Roger","R","TX-25","-"
"Burgess, Michael C.","R","TX-26","-"
"Farenthold, Blake","R","TX-27","-"
"Cuellar, Henry","D","TX-28","-"
"Green, Gene","D","TX-29","-"
"Johnson, Eddie Bernice","D","TX-30","+"
"Carter, John R.","R","TX-31","-"
"Sessions, Pete","R","TX-32","-"
"Veasey, Marc A.","D","TX-33","+"
"Vela, Filemon","D","TX-34","-"
"Doggett, Lloyd A.","D","TX-35","+"
"Stockman, Steve","R","TX-36","-"
"Bishop, Rob","R","UT-01","-"
"Stewart, Chris","R","UT-02","-"
"Chaffetz, Jason","R","UT-03","-"
"Matheson, Jim","D","UT-04","-"
"Welch, Peter F.","D","VT-AL","+"
"Wittman, Rob","R","VA-01","-"
"Rigell, Scott","R","VA-02","-"
"Scott, Robert C.","D","VA-03","+"
"Forbes, J. Randy","R","VA-04","-"
"Hurt, Robert","R","VA-05","?"
"Goodlatte, Bob","R","VA-06","-"
"Cantor, Eric","R","VA-07","-"
"Moran, James P.","D","VA-08","+"
"Griffith, Morgan","R","VA-09","-"
"Wolf, Frank","R","VA-10","-"
"Connolly, Gerald E.","D","VA-11","+"
"DelBene, Suzan K.","D","WA-01","+"
"Larsen, Rick","D","WA-02","+"
"Herrera-Beutler, Jaime","R","WA-03","?"
"Hastings, Doc","R","WA-04","-"
"McMorris Rodgers, Cathy","R","WA-05","-"
"Kilmer, Derek","D","WA-06","+"
"McDermott, Jim","D","WA-07","+"
"Reichert, Dave","R","WA-08","-"
"Smith, Adam","D","WA-09","+"
"Heck, Denny","D","WA-10","+"
"McKinley, David","R","WV-01","-"
"Capito, Shelley Moore","R","WV-02","-"
"Rahall, Nick","D","WV-03","+"
"Ryan, Paul","R","WI-01","-"
"Pocan, Mark","D","WI-02","+"
"Kind, Ron","D","WI-03","+"
"Moore, Gwen","D","WI-04","+"
"Sensenbrenner, James F.","R","WI-05","-"
"Petri, Tom","R","WI-06","-"
"Duffy, Sean","R","WI-07","-"
"Ribble, Reid","R","WI-08","-"
"Lummis, Cynthia M.","R","WY-AL","?"
""